#rank	alpha_0_mean	alpha_0_conf	alpha_0.5_mean	alpha_0.5_conf	alpha_0.8_mean	alpha_0.8_conf	alpha_1_mean	alpha_1_conf	alpha_1.2_mean	alpha_1.2_conf	alpha_2_mean	alpha_2_conf
636	1	0	0.5714285714	0.3959797975	1	0	1	0	1	0	NaN	NaN
637	1	0	0.8571428571	0.28	1	0	1	0	1	0	NaN	NaN
638	1	0	0.75	0.3207802986	0.875	0.245	1	0	1	0	NaN	NaN
639	1	0	0.5	0.3704051835	0.8	0.392	1	0	NaN	NaN	NaN	NaN
640	1	0	0.5	0.3704051835	1	0	1	0	1	0	NaN	NaN
641	1	0	0.6	0.3200666597	1	0	1	0	1	0	NaN	NaN
642	1	0	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
643	0.9666667	0.065333268	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
644	1	0	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
645	1	0	0.5	0.4382693236	1	0	1	0	1	0	NaN	NaN
646	1	0	0.6666666667	0.4132042809	1	0	1	0	1	0	NaN	NaN
647	1	0	0.5714285714	0.3959797975	1	0	1	0	1	0	NaN	NaN
648	1	0	0.4	0.3200666597	1	0	1	0	1	0	NaN	NaN
649	1	0	0.4444444444	0.3443369008	1	0	1	0	1	0	NaN	NaN
650	1	0	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
651	1	0	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
652	1	0	0.5	0.3704051835	1	0	1	0	1	0	NaN	NaN
653	1	0	0.4444444444	0.3443369008	1	0	1	0	1	0	NaN	NaN
654	1	0	0.6	0.3200666597	1	0	1	0	NaN	NaN	NaN	NaN
655	1	0	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
656	1	0	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
657	1	0	0.7142857143	0.3614784456	1	0	1	0	1	0	NaN	NaN
658	1	0	0.5	0.3266666667	1	0	1	0	1	0	NaN	NaN
659	1	0	0.5	0.3266666667	1	0	1	0	1	0	NaN	NaN
660	1	0	0.5555555556	0.3443369008	1	0	1	0	1	0	1	0
661	0.8888888889	0.2177777778	0.5714285714	0.3959797975	1	0	1	0	1	0	NaN	NaN
662	0.9	0.196	0.375	0.3586432768	1	0	1	0	1	0	NaN	NaN
663	0.8888888889	0.2177777778	0.6	0.3200666597	1	0	1	0	1	0	NaN	NaN
664	0.6	0.3200666597	0.4444444444	0.3443369008	1	0	1	0	1	0	NaN	NaN
665	0.6	0.3200666597	0.4	0.3200666597	1	0	1	0	NaN	NaN	NaN	NaN
666	0.3	0.2993949454	0.2857142857	0.3614784456	1	0	1	0	1	0	NaN	NaN
667	0.3333333333	0.3266666667	0.4444444444	0.3443369008	1	0	1	0	1	0	NaN	NaN
668	0.2	0.2613333333	0.2222222222	0.2880929205	1	0	1	0	1	0	NaN	NaN
669	0.3333333333	0.3266666667	0.2857142857	0.3614784456	1	0	1	0	1	0	NaN	NaN
670	0.2	0.2613333333	0.3333333333	0.3266666667	1	0	1	0	NaN	NaN	NaN	NaN
671	0	0	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
672	0	0	0.5	0.3266666667	1	0	1	0	1	0	NaN	NaN
673	0	0	0.4	0.4800999896	1	0	1	0	NaN	NaN	NaN	NaN
674	0	0	0.4444444444	0.3443369008	1	0	1	0	1	0	NaN	NaN
675	0.1111111111	0.2177777778	0.375	0.3586432768	1	0	1	0	1	0	NaN	NaN
676	0.1111111111	0.2177777778	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
677	0.1481481111	0.2207817362	0.6666666667	0.3266666667	1	0	0.8	0.392	NaN	NaN	NaN	NaN
678	0.1	0.196	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
679	0	0	0.5	0.3266666667	1	0	1	0	1	0	NaN	NaN
680	0	0	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
681	0	0	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
682	0	0	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
683	0	0	0.5	0.3704051835	1	0	1	0	1	0	2	0
684	0.1	0.196	0.5	0.3704051835	1	0	1	0	1	0	NaN	NaN
685	0	0	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
686	0	0	0.7	0.2993949454	1	0	1	0	1	0	NaN	NaN
687	0.1111111111	0.2177777778	0.6666666667	0.4132042809	1	0	1	0	1	0	NaN	NaN
688	0.1111111111	0.2177777778	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
689	0	0	0.7142857143	0.3614784456	1	0	NaN	NaN	1	0	NaN	NaN
690	0.1111111111	0.2177777778	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
691	0.4	0.3200666597	0.6666666667	0.3266666667	1	0	1	0	NaN	NaN	NaN	NaN
692	0.3333333333	0.3266666667	0.8571428571	0.28	1	0	1	0	1	0	1	0
693	0.1111111111	0.2177777778	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
694	0.2222222222	0.2880929205	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
695	0.5	0.3266666667	0.7142857143	0.3614784456	1	0	1	0	1	0	NaN	NaN
696	0.4	0.3200666597	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
697	0.3	0.2993949454	0.6666666667	0.4132042809	1	0	1	0	1	0	NaN	NaN
698	0.2	0.2613333333	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
699	0.375	0.3586432768	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
700	0.3333333	0.2921795491	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
701	0.4444444444	0.3443369008	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
702	0.25	0.3207802986	0.6666666667	0.3266666667	1	0	1	0	1.1666666667	0.3266666667	NaN	NaN
703	0.6	0.3200666597	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
704	0.6666666667	0.3266666667	0.8571428571	0.28	1	0	1	0	1	0	NaN	NaN
705	0.8888888889	0.2177777778	0.8	0.392	1	0	1	0	1	0	NaN	NaN
706	0.8888888889	0.2177777778	0.7142857143	0.3614784456	1	0	1	0	1	0	NaN	NaN
707	0.6666666667	0.3266666667	0.8333333333	0.3266666667	1	0	1	0	1	0	NaN	NaN
708	0.9	0.196	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
709	0.8	0.2613333333	0.8	0.2613333333	1	0	1	0	NaN	NaN	NaN	NaN
710	0.625	0.3586432768	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
711	0.5	0.3266666667	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
712	0.5555555556	0.3443369008	1	0	1	0	1	0	1	0	NaN	NaN
713	0.7	0.2993949454	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
714	0.8888888889	0.2177777778	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
715	0.9	0.196	0.8	0.2613333333	1	0	1	0	1	0	1	0
716	0.875	0.245	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
717	0.5	0.4382693236	0.8333333333	0.3266666667	1	0	1	0	1	0	NaN	NaN
718	0.4444444444	0.3443369008	0.7142857143	0.3614784456	1	0	1	0	1	0	NaN	NaN
719	0.3	0.2993949454	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
720	0.4	0.3200666597	0.7	0.2993949454	1	0	1	0	1	0	NaN	NaN
721	0.625	0.3586432768	0.8571428571	0.28	1	0	1	0	1	0	NaN	NaN
722	0.4444444444	0.3443369008	0.8333333333	0.3266666667	1	0	1	0	1	0	NaN	NaN
723	0.7777777778	0.2880929205	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
724	0.625	0.3586432768	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
725	0.3333333333	0.3266666667	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
726	0.3	0.2993949454	0.875	0.245	1	0	1	0	1	0	NaN	NaN
727	0.3	0.2993949454	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
728	0.2222222222	0.2880929205	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
729	0.2	0.2613333333	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
730	0	0	0.75	0.3207802986	1	0	1	0	1	0	1	0
731	0.1111111111	0.2177777778	0.6666666667	0.4132042809	1	0	1	0	1	0	NaN	NaN
732	0.125	0.245	0.7142857143	0.3614784456	1	0	1	0	1	0	NaN	NaN
733	0.2	0.2613333333	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
734	0.2222222222	0.2880929205	0.5714285714	0.3959797975	1	0	1	0	1	0	NaN	NaN
735	0.4	0.3200666597	0.875	0.245	1	0	1	0	1	0	NaN	NaN
736	0.2	0.2613333333	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
737	0.2	0.2613333333	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
738	0.1	0.196	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
739	0.3	0.2993949454	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
740	0.2	0.2613333333	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
741	0.1111111111	0.2177777778	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
742	0.2	0.2613333333	0.7	0.2993949454	1	0	1	0	1	0	NaN	NaN
743	0.3333333333	0.3266666667	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
744	0.3333333333	0.3266666667	0.8333333333	0.3266666667	1	0	1	0	1	0	NaN	NaN
745	0.4	0.3200666597	0.6666666667	0.4132042809	1	0	1	0	1	0	NaN	NaN
746	0.6	0.3200666597	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
747	0.3	0.2993949454	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
748	0.3	0.2993949454	0.6	0.4800999896	1	0	1	0	1	0	NaN	NaN
749	0.4444444444	0.3443369008	0.7142857143	0.3614784456	1	0	1	0	1	0	NaN	NaN
750	0.3333333333	0.3266666667	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
751	0.6	0.3200666597	0.625	0.3586432768	1	0	1	0	NaN	NaN	NaN	NaN
752	0.7	0.2993949454	0.5714285714	0.3959797975	1	0	1	0	NaN	NaN	NaN	NaN
753	0.5555555556	0.3443369008	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
754	0.5555555556	0.3443369008	0.8571428571	0.28	1	0	1	0	1	0	NaN	NaN
755	0.5	0.3266666667	0.7142857143	0.3614784456	1	0	1	0	1	0	NaN	NaN
756	0.7	0.2993949454	0.7	0.2993949454	1	0	1	0	1	0	NaN	NaN
757	0.4	0.3200666597	0.8333333333	0.3266666667	1	0	1	0	1	0	NaN	NaN
758	0.3333333333	0.3266666667	0.6	0.3200666597	1	0	1	0	1	0	NaN	NaN
759	0.4	0.3200666597	0.7	0.2993949454	1	0	1	0	1	0	NaN	NaN
760	0.7	0.2993949454	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
761	0.6	0.3200666597	0.5	0.4382693236	1	0	1	0	1	0	NaN	NaN
762	0.3333333333	0.3266666667	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
763	0.25	0.3207802986	0.625	0.3586432768	1	0	0.8333333333	0.3266666667	1	0	NaN	NaN
764	0.4	0.3200666597	0.6	0.3200666597	1	0	1	0	1	0	NaN	NaN
765	0.1	0.196	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
766	0.3	0.2993949454	0.6666666667	0.4132042809	1	0	1	0	1	0	NaN	NaN
767	0.4	0.3200666597	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
768	0.2	0.2613333333	0.7142857143	0.3614784456	1	0	1	0	1	0	NaN	NaN
769	0.2222222222	0.2880929205	0.5	0.3704051835	1	0	1	0	1	0	NaN	NaN
770	0.1111111111	0.2177777778	0.625	0.3586432768	1	0	0.5	0.98	NaN	NaN	NaN	NaN
771	0.2	0.2613333333	0.5	0.4382693236	1	0	1	0	1	0	NaN	NaN
772	0.2	0.2613333333	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
773	0.125	0.245	0.5	0.3704051835	1	0	0.6666666667	0.6533333333	1	0	NaN	NaN
774	0.1	0.196	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
775	0.2	0.2613333333	0.6	0.3200666597	1	0	1	0	1	0	NaN	NaN
776	0.125	0.245	0.6	0.3200666597	1	0	0.875	0.245	1	0	NaN	NaN
777	0.1	0.196	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
778	0.125	0.245	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
779	0.2222222222	0.2880929205	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
780	0.3	0.2993949454	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
781	0.2	0.2613333333	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
782	0.2	0.2613333333	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
783	0.1	0.196	0.4285714286	0.3959797975	1	0	1	0	1	0	NaN	NaN
784	0.2	0.2613333333	0.4285714286	0.3959797975	1	0	1	0	1	0	NaN	NaN
785	0.1111111111	0.2177777778	0.4444444444	0.3443369008	1	0	1	0	NaN	NaN	NaN	NaN
786	0.2	0.2613333333	0.375	0.3586432768	1	0	1	0	1	0	NaN	NaN
787	0.1	0.196	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
788	0.125	0.245	0.3333333333	0.4132042809	1	0	1	0	1	0	NaN	NaN
789	0.2	0.2613333333	0.5	0.4382693236	1	0	1	0	1	0	NaN	NaN
790	0.1	0.196	0.375	0.3586432768	1	0	1	0	1	0	NaN	NaN
791	0.125	0.245	0.3333333333	0.3266666667	1	0	1	0	NaN	NaN	NaN	NaN
792	0.3333333333	0.3266666667	0.5	0.3704051835	1	0	1	0	1	0	NaN	NaN
793	0.3333333333	0.3266666667	0.5	0.3266666667	1	0	1	0	1	0	NaN	NaN
794	0.3333333333	0.3266666667	0.4285714286	0.3959797975	1	0	1	0	1	0	NaN	NaN
795	0.4444444444	0.3443369008	0.3333333333	0.4132042809	1	0	1	0	1	0	NaN	NaN
796	0.3	0.2993949454	0.4444444444	0.3443369008	1	0	1	0	NaN	NaN	NaN	NaN
797	0.3333333333	0.3266666667	0.6666666667	0.4132042809	1	0	1	0	1	0	NaN	NaN
798	0.375	0.3586432768	0.5	0.3704051835	1	0	1	0	1	0	NaN	NaN
799	0.2857142857	0.3614784456	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
800	0.7	0.2993949454	0.6666666667	0.4132042809	1	0	1	0	1	0	NaN	NaN
801	0.4	0.3200666597	0.6666666667	0.4132042809	1	0	1	0	1	0	NaN	NaN
802	0.3333333333	0.3266666667	0.6	0.3200666597	1	0	1	0	1	0	NaN	NaN
803	0.5	0.3266666667	0.4444444444	0.3443369008	1	0	1	0	NaN	NaN	NaN	NaN
804	0.7777777778	0.2880929205	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
805	0.6	0.3200666597	0.6	0.3200666597	1	0	1	0	1	0	NaN	NaN
806	0.4	0.3200666597	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
807	0.6	0.3200666597	0.75	0.49	1	0	1	0	1	0	NaN	NaN
808	0.5	0.3266666667	0.5	0.3704051835	1	0	1	0	NaN	NaN	NaN	NaN
809	0.8571428571	0.28	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
810	0.5	0.3266666667	0.4285714286	0.3959797975	1	0	1	0	1	0	NaN	NaN
811	0.2	0.2613333333	0.5555555556	0.3443369008	1	0	1	0	1	0	2	0
812	0.1	0.196	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
813	0.1	0.196	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
814	0.25	0.3207802986	0.6	0.3200666597	1	0	NaN	NaN	1	0	NaN	NaN
815	0.1111111111	0.2177777778	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
816	0.1	0.196	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
817	0.1111111111	0.2177777778	0.7	0.2993949454	1	0	1	0	1	0	NaN	NaN
818	0.2222222222	0.2880929205	1	0	1	0	1	0	1	0	NaN	NaN
819	0.2222222222	0.2880929205	0.7	0.2993949454	1	0	1	0	1	0	NaN	NaN
820	0.2	0.2613333333	0.7142857143	0.3614784456	1	0	1	0	1	0	NaN	NaN
821	0.2	0.2613333333	0.5	0.3704051835	1	0	1	0	1	0	NaN	NaN
822	0	0	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
823	0.1	0.196	0.875	0.245	1	0	1	0	1	0	NaN	NaN
824	0.3	0.2993949454	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
825	0	0	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
826	0.1	0.196	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
827	0	0	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
828	0.1111111111	0.2177777778	0.6666666667	0.4132042809	1	0	1	0	1	0	NaN	NaN
829	0.1	0.196	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
830	0.125	0.245	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
831	0	0	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
832	0.25	0.3207802986	0.5714285714	0.3959797975	1	0	1	0	1	0	NaN	NaN
833	0.2	0.2613333333	0.5714285714	0.3959797975	1	0	1	0	1	0	NaN	NaN
834	0.1	0.196	1	0	1	0	1	0	1	0	NaN	NaN
835	0	0	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
836	0.125	0.245	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
837	0	0	0.6666666667	0.4132042809	1	0	1	0	1	0	NaN	NaN
838	0	0	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
839	0	0	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
840	0	0	0.75	0.3207802986	1	0	1	0	1	0	NaN	NaN
841	0	0	0.5	0.4382693236	1	0	1	0	1	0	NaN	NaN
842	0	0	0.5555555556	0.3443369008	1	0	1	0	NaN	NaN	NaN	NaN
843	0	0	0.7142857143	0.3614784456	1	0	1	0	1	0	NaN	NaN
844	0	0	0.4285714286	0.3959797975	1	0	0.75	0.49	1	0	NaN	NaN
845	0.3	0.2993949454	0.5	0.3704051835	1	0	1	0	1	0	NaN	NaN
846	0	0	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
847	0	0	0.5	0.4382693236	1	0	1	0	1	0	NaN	NaN
848	0.1111111111	0.2177777778	0.2857142857	0.3614784456	1	0	1	0	1	0	NaN	NaN
849	0	0	0.625	0.3586432768	1	0	1	0	1	0	NaN	NaN
850	0	0	0.3333333333	0.3266666667	1	0	1	0	1	0	NaN	NaN
851	0	0	0.3333333333	0.3266666667	1	0	1	0	1	0	NaN	NaN
852	0.125	0.245	0.416666625	0.343721469	1	0	1	0	1	0	NaN	NaN
853	0	0	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
854	0.1	0.196	0.3333333333	0.3266666667	1	0	1	0	1	0	NaN	NaN
855	0	0	0.2222222222	0.2880929205	1	0	0.875	0.245	1	0	NaN	NaN
856	0.2222222222	0.2880929205	0.2857142857	0.3614784456	1	0	0.5	0.98	1	0	NaN	NaN
857	0	0	0.1428571429	0.28	1	0	0	0	1	0	NaN	NaN
858	0.1111111111	0.2177777778	0.25	0.3207802986	1	0	0.5	0.98	1	0	NaN	NaN
859	0	0	0.2	0.2613333333	1	0	1	0	1	0	NaN	NaN
860	0	0	0.2222222222	0.2880929205	1	0	1	0	1	0	NaN	NaN
861	0.1111111111	0.2177777778	0.2857142857	0.3614784456	1	0	1	0	1	0	NaN	NaN
862	0	0	0.1	0.196	0.8571428571	0.28	1	0	1	0	NaN	NaN
863	0.1	0.196	0	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
864	0.1111111111	0.2177777778	0.1428571429	0.28	0.8	0.392	1	0	1	0	NaN	NaN
865	0.1	0.196	0.1666666667	0.3266666667	0.8	0.392	1	0	1	0	NaN	NaN
866	0	0	0	0	1	0	1	0	1	0	NaN	NaN
867	0	0	0	0	0.875	0.245	1	0	1	0	NaN	NaN
868	0.1	0.196	0	0	1	0	1	0	1	0	NaN	NaN
869	0.1	0.196	0	0	0.6666666667	0.6533333333	1	0	NaN	NaN	NaN	NaN
870	0.1111111111	0.2177777778	0.1428571429	0.28	0.8333333333	0.3266666667	1	0	1	0	NaN	NaN
871	0	0	0.25	0.3207802986	1	0	1	0	1	0	NaN	NaN
872	0.3333333333	0.3266666667	0.1	0.196	0.75	0.49	1	0	1	0	NaN	NaN
873	0.3333333333	0.3266666667	0.125	0.245	0.6666666667	0.4132042809	1	0	1	0	NaN	NaN
874	0.5	0.3266666667	0.3333333333	0.4132042809	1	0	1	0	1	0	NaN	NaN
875	0.4444444444	0.3443369008	0.2222222222	0.2880929205	0.875	0.245	1	0	1	0	NaN	NaN
876	0.5	0.3266666667	0.1111111111	0.2177777778	1	0	1	0	1	0	NaN	NaN
877	0.6	0.3200666597	0.25	0.3207802986	0.8571428571	0.28	1	0	1	0	NaN	NaN
878	0.6	0.3200666597	0.1111111111	0.2177777778	1	0	1.25	0.49	1	0	NaN	NaN
879	0.6666666667	0.3266666667	0	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
880	0.5555555556	0.3443369008	0	0	0.8333333333	0.3266666667	1	0	NaN	NaN	NaN	NaN
881	0.8	0.2613333333	0	0	0.6666666667	0.6533333333	1	0	1	0	NaN	NaN
882	1	0	0	0	0.8333333333	0.3266666667	1	0	1	0	NaN	NaN
883	0.875	0.245	0.25	0.3207802986	0.75	0.49	1	0	1	0	NaN	NaN
884	0.8	0.2613333333	0	0	0.75	0.49	1	0	1	0	NaN	NaN
885	0.8	0.2613333333	0	0	0.7142857143	0.3614784456	1	0	1	0	NaN	NaN
886	0.8888888889	0.2177777778	0	0	0.8	0.392	1	0	1	0	NaN	NaN
887	0.8	0.2613333333	0.125	0.245	0.8333333333	0.3266666667	1	0	NaN	NaN	NaN	NaN
888	0.9	0.196	0	0	0.8	0.392	1	0	1	0	NaN	NaN
889	0.8888888889	0.2177777778	0	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
890	0.8888888889	0.2177777778	0	0	0.8	0.392	1	0	1	0	NaN	NaN
891	1	0	0	0	1	0	1	0	NaN	NaN	NaN	NaN
892	1	0	0	0	1	0	1	0	1	0	NaN	NaN
893	0.7777777778	0.2880929205	0.1428571429	0.28	1	0	1	0	1	0	NaN	NaN
894	0.9	0.196	0	0	1	0	1	0	1	0	NaN	NaN
895	0.8	0.2613333333	0	0	1	0	1	0	1	0	NaN	NaN
896	0.7777777778	0.2880929205	0	0	0.8333333333	0.3266666667	1	0	1	0	NaN	NaN
897	0.5	0.3266666667	0	0	0.8888888889	0.2177777778	1	0	NaN	NaN	NaN	NaN
898	0.75	0.3207802986	0	0	1	0	1	0	NaN	NaN	NaN	NaN
899	0.5555555556	0.3443369008	0	0	1	0	1	0	1	0	NaN	NaN
900	0.6	0.3200666597	0	0	0.8888888889	0.2177777778	1	0	1	0	NaN	NaN
901	0.4444444444	0.3443369008	0.125	0.245	1	0	1	0	1	0	NaN	NaN
902	0.4	0.3200666597	0	0	0.75	0.49	1	0	1	0	NaN	NaN
903	0.4	0.3200666597	0.1666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
904	0.3	0.2993949454	0	0	0.75	0.49	1	0	1	0	NaN	NaN
905	0.2	0.2613333333	0	0	1	0	1	0	1	0	NaN	NaN
906	0.2	0.2613333333	0	0	0.8	0.392	1	0	1	0	NaN	NaN
907	0	0	0	0	0.875	0.245	1	0	1	0	NaN	NaN
908	0	0	0	0	1	0	1	0	1	0	NaN	NaN
909	0	0	0	0	0.7777777778	0.2880929205	1	0	1	0	NaN	NaN
910	0.1	0.196	0	0	0.6666666667	0.6533333333	1	0	1	0	NaN	NaN
911	0	0	0	0	0.8571428571	0.28	1	0	NaN	NaN	NaN	NaN
912	0	0	0	0	1	0	0.8	0.392	1	0	NaN	NaN
913	0.1111111111	0.2177777778	0	0	0.8333333333	0.3266666667	1	0	1	0	NaN	NaN
914	0.1	0.196	0.1428571429	0.28	0.8333333333	0.3266666667	0.6666666667	0.6533333333	1	0	NaN	NaN
915	0.1	0.196	0	0	0.8571428571	0.28	0.6666666667	0.6533333333	1	0	NaN	NaN
916	0.2222222222	0.2880929205	0	0	1	0	0.75	0.49	NaN	NaN	NaN	NaN
917	0.2222222222	0.2880929205	0	0	0.8571428571	0.28	0.75	0.49	1	0	NaN	NaN
918	0.2222222222	0.2880929205	0.1428571429	0.28	0.8	0.392	0.8	0.392	NaN	NaN	NaN	NaN
919	0	0	0	0	1	0	1	0	1	0	NaN	NaN
920	0.1	0.196	0	0	0.8	0.392	0.6666666667	0.6533333333	1	0	NaN	NaN
921	0.1111111111	0.2177777778	0.1	0.196	0.9	0.196	1	0	1	0	NaN	NaN
922	0.3333333333	0.3266666667	0	0	1	0	0.75	0.49	1	0	NaN	NaN
923	0.1	0.196	0.125	0.245	1	0	0.5	0.98	1	0	NaN	NaN
924	0	0	0	0	1	0	1	0	1	0	NaN	NaN
925	0.1	0.196	0	0	1	0	0.6666666667	0.6533333333	NaN	NaN	NaN	NaN
926	0.1	0.196	0	0	1	0	0.8333333333	0.3266666667	NaN	NaN	NaN	NaN
927	0.2	0.2613333333	0.1428571429	0.28	1	0	1	0	1	0	NaN	NaN
928	0.1111111111	0.2177777778	0.125	0.245	0.8333333333	0.3266666667	1	0	1	0	NaN	NaN
929	0	0	0.1111111111	0.2177777778	0.8571428571	0.28	1	0	1	0	1	0
930	0	0	0.2	0.392	1	0	0.8	0.392	NaN	NaN	NaN	NaN
931	0	0	0.1111111111	0.2177777778	0.8333333333	0.3266666667	1	0	1	0	NaN	NaN
932	0	0	0.3333333333	0.4132042809	0.8571428571	0.28	1	0	NaN	NaN	NaN	NaN
933	0.1	0.196	0	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
934	0.1111111111	0.2177777778	0	0	1	0	1	0	1	0	NaN	NaN
935	0	0	0	0	0.8	0.392	1	0	1	0	NaN	NaN
936	0	0	0	0	0.75	0.49	1	0	1	0	NaN	NaN
937	0	0	0.1111111111	0.2177777778	0.8571428571	0.28	1	0	1	0	NaN	NaN
938	0.25	0.3207802986	0	0	1	0	1	0	1	0	NaN	NaN
939	0.1111111111	0.2177777778	0.1428571429	0.28	1	0	1	0	1	0	NaN	NaN
940	0.125	0.245	0	0	1	0	1	0	1	0	NaN	NaN
941	0.1	0.196	0	0	0.75	0.49	1	0	1	0	NaN	NaN
942	0	0	0	0	0.8	0.392	1	0	1	0	NaN	NaN
943	0.1111111111	0.2177777778	0	0	0.8333333333	0.3266666667	1	0	NaN	NaN	NaN	NaN
944	0	0	0	0	1	0	1	0	NaN	NaN	NaN	NaN
945	0.1111111111	0.2177777778	0	0	0.8	0.392	1	0	1	0	NaN	NaN
946	0	0	0	0	1	0	1	0	1	0	NaN	NaN
947	0.125	0.245	0	0	1	0	1	0	NaN	NaN	NaN	NaN
948	0	0	0	0	0.8333333333	0.3266666667	1	0	1	0	NaN	NaN
949	0.1	0.196	0	0	1	0	1	0	1	0	NaN	NaN
950	0.3	0.2993949454	0	0	0.75	0.49	1	0	NaN	NaN	NaN	NaN
