#rank	alpha_0_mean	alpha_0_conf	alpha_0.5_mean	alpha_0.5_conf	alpha_0.8_mean	alpha_0.8_conf	alpha_1_mean	alpha_1_conf	alpha_1.2_mean	alpha_1.2_conf	alpha_2_mean	alpha_2_conf
313	0.8571428571	0.28	1	0	1	0	1	0	1	0	NaN	NaN
314	0.9	0.196	1	0	1	0	1	0	1	0	NaN	NaN
315	1	0	1	0	1	0	1	0	1	0	NaN	NaN
316	1	0	1	0	1	0	1	0	1	0	NaN	NaN
317	1	0	1	0	1	0	1	0	1	0	NaN	NaN
318	1	0	1	0	1	0	1	0	1	0	NaN	NaN
319	1	0	1	0	1	0	1	0	1	0	NaN	NaN
320	1	0	1	0	1	0	1	0	1	0	NaN	NaN
321	1	0	1	0	1	0	1	0	1	0	NaN	NaN
322	1	0	1	0	1	0	1	0	1	0	NaN	NaN
323	1	0	1	0	1	0	1	0	1	0	NaN	NaN
324	1	0	0.9	0.196	1	0	1.1666666667	0.3266666667	1	0	NaN	NaN
325	1	0	1	0	1	0	1	0	1	0	NaN	NaN
326	1	0	1	0	1	0	1	0	1	0	NaN	NaN
327	1	0	1	0	1	0	1	0	1	0	1	0
328	1	0	1	0	1	0	1	0	1	0	NaN	NaN
329	1	0	1	0	1	0	1	0	1	0	NaN	NaN
330	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
331	1	0	1	0	1	0	1	0	1	0	2	0
332	1	0	0.8888888889	0.2177777778	1	0	1	0	1	0	NaN	NaN
333	1	0	1	0	1	0	1	0	1	0	NaN	NaN
334	1	0	1	0	1	0	1	0	1	0	NaN	NaN
335	1	0	1	0	1	0	1	0	1	0	NaN	NaN
336	1	0	1	0	1	0	1	0	1	0	NaN	NaN
337	1	0	0.875	0.245	1	0	1	0	1	0	NaN	NaN
338	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
339	1	0	1	0	1	0	1	0	1	0	NaN	NaN
340	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
341	1	0	1	0	1	0	1.1666666667	0.3266666667	1	0	NaN	NaN
342	1	0	1	0	1	0	1	0	1	0	NaN	NaN
343	1	0	1	0	1	0	1	0	1	0	NaN	NaN
344	1	0	1	0	1	0	1	0	1	0	NaN	NaN
345	1	0	1	0	1	0	1	0	1	0	NaN	NaN
346	1	0	1	0	1	0	1	0	1	0	NaN	NaN
347	1	0	1	0	1	0	1	0	1	0	2	0
348	1	0	1	0	1	0	1	0	1	0	NaN	NaN
349	1	0	1	0	1	0	1	0	1	0	NaN	NaN
350	1	0	1	0	1	0	1	0	1	0	NaN	NaN
351	1	0	1	0	1	0	1	0	1	0	NaN	NaN
352	1	0	1	0	1	0	1	0	1	0	NaN	NaN
353	1	0	1	0	1	0	1	0	1	0	NaN	NaN
354	1	0	1	0	1	0	1	0	1	0	NaN	NaN
355	1	0	1	0	1	0	1	0	1	0	NaN	NaN
356	1	0	1	0	1	0	1	0	1	0	NaN	NaN
357	1	0	1	0	1	0	1	0	1	0	NaN	NaN
358	1	0	1	0	1	0	1	0	1	0	NaN	NaN
359	1	0	1	0	1	0	1	0	1	0	2	0
360	1	0	1	0	1	0	1	0	1	0	NaN	NaN
361	1	0	1	0	1	0	1	0	1	0	NaN	NaN
362	1	0	1	0	1	0	1	0	1.3333333333	0.6533333333	NaN	NaN
363	1	0	1	0	1	0	1	0	1	0	NaN	NaN
364	1	0	1	0	1	0	1	0	1	0	2	0
365	1	0	1	0	1	0	1	0	1	0	NaN	NaN
366	1	0	1	0	1	0	1	0	1	0	NaN	NaN
367	1	0	1	0	1	0	1	0	1	0	2	0
368	1	0	1	0	1	0	1	0	1	0	NaN	NaN
369	1	0	1	0	1	0	1	0	1	0	NaN	NaN
370	1	0	1	0	1	0	1	0	1	0	NaN	NaN
371	1	0	1	0	1	0	1	0	1	0	NaN	NaN
372	1	0	1	0	1	0	1	0	1	0	NaN	NaN
373	1	0	1	0	1	0	1	0	1	0	NaN	NaN
374	1	0	1	0	1	0	1	0	1	0	NaN	NaN
375	1	0	1	0	1	0	1	0	1.25	0.49	NaN	NaN
376	1	0	1	0	1	0	1	0	1	0	NaN	NaN
377	1	0	1	0	1	0	1	0	1	0	NaN	NaN
378	1	0	1	0	1	0	1	0	1	0	NaN	NaN
379	1	0	1	0	1	0	1	0	1	0	NaN	NaN
380	1	0	1	0	1	0	1	0	1	0	NaN	NaN
381	1	0	1	0	1	0	1	0	1	0	NaN	NaN
382	1	0	1	0	1	0	1	0	1	0	NaN	NaN
383	1	0	0.9857143	0.027999972	1	0	1	0	1	0	NaN	NaN
384	1	0	0.875	0.245	1	0	1	0	1	0	NaN	NaN
385	1	0	1	0	1	0	1	0	1	0	NaN	NaN
386	1	0	1	0	1	0	1	0	1	0	NaN	NaN
387	1	0	1	0	1	0	1	0	1	0	NaN	NaN
388	1	0	1	0	1	0	1	0	1	0	NaN	NaN
389	1	0	1	0	1	0	1	0	1	0	2	0
390	1	0	0.8888888889	0.2177777778	1	0	1	0	1	0	NaN	NaN
391	1	0	1	0	1	0	1	0	1	0	NaN	NaN
392	1	0	1	0	1	0	1	0	1	0	NaN	NaN
393	1	0	1	0	1	0	1	0	1	0	NaN	NaN
