#alpha unsatisfied_ratio unsatisfied_ratio
0 0.2693572 0.001433776217937014
0.5 0.1817856 0.01300362257988435
0.8 0.0146785756 0.01205475010544509
1 0.0135714233 0.01071606874831184
1.2 3.57143e-05 7.0000028e-05
2 0.000142857 0.00027999972
