#alpha utility utility
0 0.7306427999999998 0.001433776217937014
0.5 0.8182144000000001 0.01300362257988436
0.8 1.089037 0.01424967390592033
1 1.283891 0.0125633986813477
1.2 1.4845 0.006562199815712215
2 1.931929 0.006417217765134303
