#req_epochs_1e1 all_epochs_1e1 req_epochs_1e2 all_epochs_1e2 req_epochs_1e3 all_epochs_1e3 req_epochs_1e4 all_epochs_1e4
0	10	0	10	0	10	0	10
10007286	10	1001981	10	99856	10	10083	10
20002929	10	2001522	10	199878	10	20201	10
30004911	10	3000910	10	299240	10	30073	10
40004806	10	4001129	10	399364	10	39898	10
50007398	10	5001687	10	498801	10	49820	10
60009580	10	6001501	10	598327	10	59989	10
70011141	10	7000766	10	697710	10	70034	10
80011498	10	7999491	10	797648	10	79854	10
90019026	10	8998865	10	898130	10	89966	10
100013312	10	9999922	10	997833	10	100008	10
		11000713	10	1097379	10	109918	10
		12000834	10	1197263	10	119794	10
		13000587	10	1297375	10	129763	10
		14000380	9	1397696	9	139667	9
		15000565	9	1497437	9	149803	9
		16001251	9	1597619	9	159766	9
		16998959	9	1697730	9	169767	9
		17998201	10	1797495	9	179809	10
		19000951	10	1897614	10	189808	10
		19999031	10	1997311	10	199806	10
		20999089	10	2097356	10	209844	10
		21999528	10	2197276	10	220007	10
		23001009	10	2297012	10	230100	10
		24000831	10	2396926	10	240002	10
		25000954	10	2496657	10	249982	10
		25999820	10	2596442	10	259974	10
		26998680	10	2696218	10	269756	10
		27998306	10	2796241	10	279477	10
		28997676	10	2896108	10	289496	10
		29996773	10	2996399	10	299443	10
		30998367	10	3096378	10	309450	10
		31997236	10	3196721	10	319654	10
		32997107	10	3297003	10	329725	10
		33997949	10	3396970	10	339797	10
		34998674	10	3496756	10	349810	10
		35998619	10	3596896	10	359802	10
		36998607	10	3697093	10	369576	10
		37998737	10	3797302	10	379722	10
		38998063	10	3897784	10	389690	10
		39996692	10	3997714	10	399635	10
		40997717	10	4097290	10	409684	10
		41997806	10	4197253	10	419615	10
		42997305	10	4297286	10	429480	10
		43997489	10	4396734	10	439517	10
		44998788	10	4496788	10	449576	10
		45998716	10	4596777	10	459455	10
		46997565	10	4697117	10	469352	10
		47998054	10	4796905	10	479504	10
		48998713	10	4896433	10	489533	10
		49998688	10	4996356	10	499553	10
		51000176	10	5095871	10	509584	10
		51999893	10	5195847	10	519718	10
		52998638	10	5295142	10	529594	10
		53997471	10	5395536	10	539674	10
		54996641	10	5495840	10	549731	10
		55998069	10	5595882	10	559791	10
		56999122	10	5696127	10	569838	10
		57999105	10	5796502	10	579672	10
		58999875	10	5896173	10	589753	10
		59999728	10	5996063	10	599975	10
		60998425	10	6096505	10	609965	10
		61999827	10	6196239	10	620081	10
		62999235	10	6296933	10	629948	10
		63999986	10	6396867	10	639878	10
		64999916	10	6497292	10	649887	10
		66000082	10	6597724	10	659779	10
		66999285	10	6697371	10	669823	10
		67999182	10	6797296	10	679946	10
		68999459	10	6897346	10	690027	10
		70000035	10	6997273	10	700266	10
		70999850	10	7097575	10	710253	10
		71999553	10	7197631	10	720150	10
		72999247	10	7297717	10	730114	10
		73999079	10	7398081	10	740166	10
		74998779	10	7498618	10	750174	10
		75998001	10	7598901	10	760165	10
		76997039	10	7698967	10	770310	10
		77994712	10	7799052	10	780477	10
		78995257	10	7898795	10	790494	10
		79994639	10	7998693	10	800477	10
		80993716	10	8098917	10	810394	10
		81994039	10	8198944	10	820207	10
		82994606	10	8299247	10	830169	10
		83995762	10	8399114	10	840069	10
		84997110	10	8499355	10	850188	10
		85995856	10	8599398	10	860343	10
		86996074	10	8699147	10	870296	10
		87996097	10	8799305	10	880241	10
		88996837	10	8898834	10	890125	10
		89997134	10	8998822	10	900201	10
		90996713	10	9099211	10	910130	10
		91994949	10	9198634	10	920176	10
		92995430	10	9299028	10	930221	10
