628	628	628	628	628	662
513	513	506	513	506	547
594	602	915	602	691	541
520	521	575	521	530	523
536	528	479	528	530	534
597	602	629	602	607	561
552	571	627	571	577	529
539	564	837	564	573	538
587	616	598	624	628	518
583	624	609	631	643	568
569	590	578	590	602	574
585	595	570	595	612	562
525	527	484	527	564	543
562	562	564	562	606	543
590	589	552	589	614	531
561	547	506	547	589	579
534	524	538	524	563	556
544	532	511	530	561	528
508	493	500	494	530	603
570	556	537	556	591	498
563	550	612	547	575	535
577	568	619	568	592	510
599	585	651	584	606	521
543	543	883	542	561	571
592	599	594	598	614	555
562	562	498	562	578	541
540	539	520	538	559	527
551	550	508	551	570	566
587	590	527	586	599	501
533	536	474	535	558	562
539	538	493	539	552	511
569	570	537	563	586	520
526	529	487	528	549	570
588	590	553	588	602	515
562	557	486	555	582	498
533	532	492	536	557	550
577	576	582	574	590	528
566	573	532	568	584	537
550	561	579	559	570	503
529	521	505	520	549	557
546	532	506	532	567	569
523	515	473	510	544	526
527	519	509	521	548	520
541	533	516	536	577	542
536	531	563	526	551	559
517	511	505	511	536	585
524	510	517	515	549	545
486	479	473	480	512	543
530	520	492	519	551	526
495	496	497	504	526	553
560	549	530	554	578	592
502	490	506	494	528	529
499	483	488	488	521	544
507	500	512	496	528	582
526	517	534	526	558	515
538	523	535	527	563	550
510	498	509	498	532	537
513	495	493	501	539	549
506	494	499	500	533	567
510	489	529	499	532	509
554	540	878	547	574	531
559	540	602	543	591	547
519	502	543	511	551	471
542	541	557	542	568	558
539	511	537	523	554	570
556	550	563	556	588	517
512	515	538	513	542	532
536	511	549	523	570	547
506	499	497	504	545	572
517	510	532	511	540	536
531	523	552	532	555	519
546	514	578	522	571	510
508	489	671	493	528	536
571	549	915	553	586	543
501	490	580	491	520	543
556	543	544	547	583	568
527	520	552	520	545	581
552	529	605	537	572	526
545	533	565	542	564	546
552	535	558	542	572	528
543	536	596	537	552	542
535	515	886	525	554	534
538	520	595	521	559	495
554	541	550	543	565	547
552	537	532	538	563	587
505	497	498	498	518	549
521	505	541	507	537	515
510	495	493	500	527	593
578	566	555	570	593	534
555	548	568	552	566	545
498	493	835	487	511	538
554	540	576	537	567	534
527	518	496	516	546	547
553	543	519	545	568	553
544	532	502	534	557	520
527	506	531	506	539	524
506	498	497	499	519	571
536	525	522	527	550	572
538	521	475	527	558	539
535	511	562	518	544	551
532	508	511	519	556	586
551	528	573	539	572	560
522	504	547	506	540	547
509	488	492	500	526	550
567	556	545	561	590	513
544	539	559	541	571	549
539	529	783	532	557	537
529	523	638	527	551	579
575	565	732	566	589	581
521	507	858	510	531	556
545	527	586	526	567	480
496	481	474	481	515	498
499	494	646	494	516	468
497	479	522	483	509	501
524	512	529	513	543	556
534	520	536	523	550	540
491	478	495	484	508	541
570	563	604	559	583	524
519	508	540	510	542	561
526	508	536	511	541	564
511	491	482	491	518	526
559	539	521	542	588	586
514	495	491	500	536	569
544	529	517	534	558	520
511	499	527	502	530	502
543	520	549	523	557	568
550	521	508	521	559	559
546	530	519	538	571	517
533	526	570	528	550	528
538	515	529	520	560	533
522	504	484	512	544	528
524	509	565	514	535	532
507	491	491	492	524	512
548	536	542	545	572	540
579	552	529	560	590	544
525	513	518	520	550	532
523	491	487	502	549	576
498	467	457	478	530	557
538	526	550	531	552	557
508	490	510	495	528	546
527	512	525	519	554	562
521	497	514	514	552	528
524	511	544	518	552	554
468	460	471	467	494	601
522	504	537	513	542	556
526	509	525	524	547	510
