data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.2-req_eps_0.2-R_perm_1-epochs_1e+06-K_1e+01-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+01 0.4 0.2 0.2 1 0.527361 0.412 0.115361
data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.2-req_eps_0.2-R_perm_1-epochs_1e+06-K_1e+03-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+03 0.4 0.2 0.2 1 7.31381 6.86496 0.448849
data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.2-req_eps_0.2-R_perm_2-epochs_1e+06-K_1e+01-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+01 0.4 0.2 0.2 2 0.35974 0.337691 0.0220491
data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.2-req_eps_0.2-R_perm_2-epochs_1e+06-K_1e+03-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+03 0.4 0.2 0.2 2 6.29469 6.25615 0.0385395
data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.2-req_eps_0.4-R_perm_1-epochs_1e+06-K_1e+01-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+01 0.4 0.2 0.4 1 0.615255 0.449155 0.1661
data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.2-req_eps_0.4-R_perm_1-epochs_1e+06-K_1e+03-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+03 0.4 0.2 0.4 1 8.2698 7.16937 1.10043
data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.2-req_eps_0.4-R_perm_2-epochs_1e+06-K_1e+01-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+01 0.4 0.2 0.4 2 0.301092 0.300537 0.000554703
data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.2-req_eps_0.4-R_perm_2-epochs_1e+06-K_1e+03-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+03 0.4 0.2 0.4 2 6.34736 5.95174 0.395617
data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.4-req_eps_0.2-R_perm_1-epochs_1e+06-K_1e+01-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+01 0.4 0.4 0.2 1 0.97932 0.686054 0.293266
data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.4-req_eps_0.2-R_perm_1-epochs_1e+06-K_1e+02-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+02 0.4 0.4 0.2 1 3.26256 2.55842 0.70414
data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.4-req_eps_0.2-R_perm_1-epochs_1e+06-K_1e+03-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+03 0.4 0.4 0.2 1 9.6334 8.40937 1.22403
data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.4-req_eps_0.2-R_perm_2-epochs_1e+06-K_1e+01-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+01 0.4 0.4 0.2 2 0.65288 0.489693 0.163187
data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.4-req_eps_0.2-R_perm_2-epochs_1e+06-K_1e+02-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+02 0.4 0.4 0.2 2 2.18096 1.90808 0.27288
data/rawdata/N_2-ctlg_1e+05-ctlg_eps_0.2-ctlg_perm_1-alpha0_0.4-alpha_eps_0.4-req_eps_0.2-R_perm_2-epochs_1e+06-K_1e+03-optimum-totreq_1e+08-seed_1.log:improvement 2 100000 0.2 1 1e+03 0.4 0.4 0.2 2 6.88514 6.79365 0.0914891
