#1.N 2.ctlg 3.ctlg_eps 4.ctlg_perm 5.K 6.alpha0 7.alpha_eps 8.req_eps 9.R_perm 10.hit_opt% 11.hit_unif% 12.improvement%
2 100000 0.2 1 1e+01 0.7 0.2 0.2 2 4.5259 4.07171 0.454197
2 100000 0.2 1 1e+02 0.7 0.2 0.2 2 10.8277 10.6279 0.199811
2 100000 0.2 1 1e+03 0.7 0.2 0.2 2 22.9987 22.9875 0.0112327
2 100000 0.2 1 1e+04 0.7 0.2 0.2 2 49.6121 48.2176 1.39447
2 100000 0.2 1 1e+01 0.7 0.2 0.4 1 7.81099 6.15724 1.65375
2 100000 0.2 1 1e+02 0.7 0.2 0.4 1 17.0055 15.1351 1.87048
2 100000 0.2 1 1e+03 0.7 0.2 0.4 1 31.392 29.78 1.61202
2 100000 0.2 1 1e+04 0.7 0.2 0.4 1 55.3188 54.6648 0.654023
2 100000 0.2 1 1e+01 0.7 0.2 0.4 2 3.5432 3.37653 0.166675
2 100000 0.2 1 1e+02 0.7 0.2 0.4 2 9.13271 9.12547 0.00724308
2 100000 0.2 1 1e+03 0.7 0.2 0.4 2 21.0701 20.7233 0.346752
2 100000 0.2 1 1e+04 0.7 0.2 0.4 2 49.3356 46.0686 3.26705
2 100000 0.2 1 1e+01 0.7 0.2 0 1 5.57928 4.76688 0.812392
2 100000 0.2 1 1e+02 0.7 0.2 0 1 12.7362 12.1303 0.605976
2 100000 0.2 1 1e+03 0.7 0.2 0 1 25.3838 25.2517 0.132164
2 100000 0.2 1 1e+04 0.7 0.2 0 1 50.6592 50.3667 0.292569
2 100000 0.2 1 1e+01 0.7 0.2 0 2 5.57928 4.76688 0.812392
2 100000 0.2 1 1e+02 0.7 0.2 0 2 12.7362 12.1303 0.605976
2 100000 0.2 1 1e+03 0.7 0.2 0 2 25.3838 25.2517 0.132164
2 100000 0.2 1 1e+04 0.7 0.2 0 2 50.6592 50.3667 0.292569
2 100000 0.2 1 1e+01 0.7 0.4 0.2 1 13.8968 10.9365 2.9603
2 100000 0.2 1 1e+02 0.7 0.4 0.2 1 25.1749 22.4594 2.7155
2 100000 0.2 1 1e+03 0.7 0.4 0.2 1 37.8327 36.6046 1.22811
2 100000 0.2 1 1e+04 0.7 0.4 0.2 1 57.9816 57.8646 0.116964
2 100000 0.2 1 1e+01 0.7 0.4 0.2 2 9.26451 7.43385 1.83066
2 100000 0.2 1 1e+02 0.7 0.4 0.2 2 16.8668 15.6189 1.24782
2 100000 0.2 1 1e+03 0.7 0.4 0.2 2 27.052 26.9838 0.0681993
2 100000 0.2 1 1e+04 0.7 0.4 0.2 2 50.8208 48.5213 2.29948
2 100000 0.2 1 1e+01 0.7 0.4 0.4 1 16.2129 12.6878 3.52512
2 100000 0.2 1 1e+02 0.7 0.4 0.4 1 29.3707 25.8796 3.4911
2 100000 0.2 1 1e+03 0.7 0.4 0.4 1 43.6489 41.415 2.23389
2 100000 0.2 1 1e+04 0.7 0.4 0.4 1 62.629 62.5363 0.0926859
2 100000 0.2 1 1e+01 0.7 0.4 0.4 2 6.94838 5.68255 1.26584
2 100000 0.2 1 1e+02 0.7 0.4 0.4 2 12.81 12.1987 0.611233
2 100000 0.2 1 1e+03 0.7 0.4 0.4 2 22.2125 22.1734 0.0390507
2 100000 0.2 1 1e+04 0.7 0.4 0.4 2 48.1371 43.8497 4.28744
2 100000 0.2 1 1e+01 0.7 0.4 0 1 11.5806 9.18516 2.39548
2 100000 0.2 1 1e+02 0.7 0.4 0 1 21.0022 19.0392 1.96308
2 100000 0.2 1 1e+03 0.7 0.4 0 1 32.2788 31.7942 0.484589
2 100000 0.2 1 1e+04 0.7 0.4 0 1 54.0847 53.193 0.891764
2 100000 0.2 1 1e+01 0.7 0.4 0 2 11.5806 9.18516 2.39548
2 100000 0.2 1 1e+02 0.7 0.4 0 2 21.0022 19.0392 1.96308
