#1e3_noboost	1e6_noboost	1e3_boost	1e6_boost
0.57688	0.55801	0.50000	0.50000
0.57868	0.55826	0.60000	0.60000
0.58002	0.55846	0.70000	0.70000
0.58207	0.55870	0.80000	0.80000
0.58247	0.55891	0.70000	0.70000
0.58447	0.55914	0.60000	0.60000
0.58516	0.55937	0.70000	0.70000
0.58725	0.55958	0.80000	0.80000
0.58871	0.55981	0.70000	0.70000
0.59032	0.56005	0.60000	0.60000
0.59138	0.56030	0.70000	0.70000
0.59342	0.56054	0.60000	0.80000
0.59475	0.56076	0.50000	0.70000
0.59576	0.56099	0.60000	0.60000
0.59744	0.56121	0.70000	0.70000
0.59907	0.56141	0.80000	0.80000
0.60129	0.56164	0.90000	0.70000
0.60338	0.56186	0.80000	0.60000
0.60520	0.56208	0.70000	0.70000
0.60673	0.56229	0.60000	0.80000
0.60829	0.56247	0.70000	0.70000
0.60954	0.56269	0.60000	0.60000
0.61099	0.56294	0.50000	0.70000
0.61229	0.56316	0.60000	0.80000
0.61365	0.56339	0.70000	0.70000
0.61445	0.56361	0.60000	0.60000
0.61594	0.56383	0.50000	0.70000
0.61696	0.56406	0.60000	0.80000
0.61867	0.56428	0.70000	0.70000
0.62061	0.56452	0.80000	0.60000
0.62154	0.56476	0.70000	0.70000
0.62348	0.56499	0.80000	0.80000
0.62469	0.56522	0.90000	0.70000
0.62606	0.56545	0.80000	0.60000
0.62763	0.56568	0.70000	0.70000
0.62939	0.56590	0.60000	0.80000
0.63056	0.56611	0.70000	0.70000
0.63089	0.56634	0.60000	0.60000
0.63165	0.56657	0.50000	0.70000
0.63271	0.56680	0.60000	0.60000
0.63334	0.56703	0.70000	0.70000
0.63422	0.56726	0.60000	0.80000
0.63568	0.56745	0.50000	0.70000
0.63712	0.56768	0.60000	0.60000
0.63902	0.56789	0.50000	0.70000
0.64108	0.56812	0.60000	0.80000
0.64195	0.56832	0.70000	0.70000
0.64342	0.56856	0.60000	0.60000
0.64591	0.56877	0.50000	0.50000
0.64721	0.56900	0.40000	0.60000
0.64892	0.56923	0.50000	0.70000
0.65007	0.56946	0.40000	0.80000
0.64941	0.56969	0.30000	0.70000
0.64834	0.56990	0.40000	0.60000
0.64726	0.57015	0.50000	0.70000
0.64527	0.57037	0.60000	0.80000
0.64432	0.57063	0.50000	0.70000
0.64403	0.57086	0.60000	0.60000
0.64326	0.57105	0.70000	0.70000
0.64269	0.57128	0.60000	0.80000
0.64215	0.57150	0.50000	0.70000
0.64179	0.57173	0.40000	0.60000
0.64055	0.57197	0.50000	0.50000
0.63946	0.57219	0.60000	0.60000
0.63895	0.57241	0.70000	0.70000
0.63787	0.57260	0.80000	0.80000
0.63665	0.57284	0.90000	0.70000
0.63566	0.57304	0.80000	0.60000
0.63421	0.57328	0.70000	0.70000
0.63273	0.57348	0.80000	0.80000
0.63090	0.57373	0.90000	0.70000
0.63007	0.57398	0.80000	0.60000
0.62917	0.57418	0.70000	0.50000
0.62830	0.57439	0.60000	0.60000
0.62730	0.57461	0.70000	0.70000
0.62667	0.57483	0.80000	0.60000
0.62552	0.57505	0.90000	0.50000
0.62543	0.57527	0.80000	0.60000
0.62469	0.57549	0.70000	0.70000
0.62449	0.57570	0.80000	0.80000
0.62429	0.57593	0.90000	0.70000
0.62388	0.57615	0.90000	0.60000
0.62324	0.57636	0.80000	0.70000
0.62272	0.57659	0.70000	0.80000
0.62162	0.57681	0.60000	0.70000
0.62119	0.57700	0.70000	0.60000
0.62028	0.57723	0.60000	0.70000
0.61923	0.57746	0.70000	0.80000
0.61816	0.57768	0.80000	0.70000
0.61745	0.57791	0.70000	0.60000
0.61744	0.57812	0.60000	0.70000
0.61628	0.57833	0.70000	0.80000
0.61576	0.57856	0.80000	0.70000
0.61529	0.57879	0.70000	0.60000
0.61456	0.57901	0.80000	0.70000
0.61324	0.57925	0.90000	0.80000
0.61219	0.57949	0.80000	0.70000
0.61122	0.57972	0.90000	0.60000
0.61078	0.57993	0.80000	0.70000
0.61005	0.58016	0.70000	0.80000
0.60878	0.58042	0.60000	0.70000
0.60795	0.58063	0.50000	0.60000
0.60808	0.58086	0.60000	0.70000
0.60687	0.58110	0.50000	0.80000
0.60663	0.58135	0.40000	0.70000
0.60563	0.58156	0.50000	0.60000
0.60522	0.58181	0.60000	0.70000
0.60456	0.58200	0.70000	0.80000
0.60431	0.58223	0.80000	0.70000
0.60379	0.58245	0.70000	0.60000
0.60297	0.58268	0.60000	0.70000
0.60241	0.58291	0.50000	0.80000
0.60173	0.58313	0.60000	0.70000
0.60104	0.58336	0.50000	0.60000
0.60048	0.58357	0.40000	0.50000
0.59876	0.58379	0.50000	0.60000
0.59851	0.58401	0.60000	0.70000
0.59789	0.58423	0.70000	0.80000
0.59732	0.58444	0.60000	0.70000
0.59611	0.58465	0.50000	0.60000
0.59522	0.58486	0.60000	0.70000
0.59496	0.58507	0.70000	0.80000
0.59446	0.58532	0.80000	0.70000
0.59441	0.58552	0.70000	0.60000
0.59377	0.58576	0.60000	0.70000
0.59324	0.58598	0.50000	0.80000
0.59193	0.58622	0.60000	0.70000
0.59133	0.58645	0.50000	0.60000
0.59016	0.58667	0.60000	0.70000
0.59022	0.58689	0.70000	0.80000
0.58879	0.58713	0.80000	0.70000
0.58722	0.58735	0.70000	0.60000
0.58648	0.58755	0.60000	0.70000
0.58568	0.58776	0.70000	0.80000
0.58478	0.58798	0.60000	0.70000
0.58417	0.58822	0.70000	0.60000
0.58324	0.58844	0.80000	0.70000
0.58216	0.58868	0.90000	0.60000
0.58120	0.58889	0.90000	0.70000
0.58028	0.58913	0.80000	0.80000
0.57972	0.58936	0.90000	0.70000
0.57935	0.58958	0.80000	0.60000
0.57885	0.58979	0.70000	0.70000
0.57775	0.59001	0.60000	0.80000
0.57676	0.59026	0.50000	0.70000
0.57547	0.59050	0.60000	0.60000
0.57476	0.59073	0.50000	0.70000
0.57396	0.59094	0.40000	0.80000
0.57291	0.59118	0.50000	0.70000
0.57145	0.59142	0.60000	0.60000
0.57120	0.59166	0.70000	0.50000
0.57004	0.59189	0.80000	0.60000
0.56903	0.59211	0.70000	0.70000
0.56740	0.59235	0.80000	0.80000
0.56617	0.59259	0.70000	0.70000
0.56602	0.59280	0.60000	0.60000
0.56471	0.59301	0.70000	0.70000
0.56395	0.59321	0.60000	0.80000
0.56361	0.59342	0.50000	0.70000
0.56229	0.59367	0.60000	0.60000
0.56130	0.59391	0.70000	0.70000
0.55960	0.59412	0.80000	0.80000
0.55866	0.59435	0.70000	0.70000
0.55744	0.59457	0.80000	0.60000
0.55589	0.59479	0.90000	0.70000
0.55533	0.59502	0.80000	0.80000
0.55491	0.59525	0.70000	0.70000
0.55427	0.59547	0.80000	0.60000
0.55351	0.59572	0.90000	0.70000
0.55280	0.59594	0.90000	0.80000
0.55265	0.59618	0.80000	0.70000
0.55178	0.59642	0.90000	0.60000
0.55093	0.59664	0.80000	0.70000
0.55016	0.59685	0.70000	0.80000
0.54950	0.59707	0.80000	0.70000
0.54954	0.59728	0.90000	0.60000
0.54911	0.59749	0.80000	0.70000
0.54992	0.59772	0.70000	0.80000
0.55013	0.59790	0.60000	0.70000
0.55028	0.59812	0.70000	0.60000
0.55036	0.59834	0.80000	0.50000
0.55103	0.59860	0.70000	0.60000
0.55147	0.59882	0.60000	0.70000
0.55120	0.59904	0.70000	0.60000
0.55148	0.59927	0.60000	0.50000
0.55243	0.59951	0.50000	0.60000
0.55384	0.59975	0.60000	0.70000
0.55377	0.59997	0.70000	0.80000
0.55355	0.60020	0.80000	0.70000
0.55324	0.60044	0.90000	0.60000
0.55287	0.60065	0.80000	0.70000
0.55280	0.60090	0.90000	0.80000
0.55291	0.60113	0.80000	0.70000
0.55396	0.60135	0.70000	0.60000
0.55440	0.60158	0.60000	0.70000
0.55467	0.60181	0.70000	0.80000
0.55424	0.60203	0.60000	0.70000
0.55441	0.60223	0.50000	0.60000
0.55488	0.60247	0.60000	0.70000
0.55526	0.60270	0.70000	0.60000
0.55523	0.60293	0.80000	0.50000
0.55538	0.60315	0.70000	0.60000
0.55518	0.60339	0.60000	0.70000
0.55667	0.60359	0.50000	0.80000
0.55764	0.60382	0.60000	0.70000
0.55770	0.60407	0.70000	0.60000
0.55752	0.60430	0.80000	0.50000
0.55786	0.60453	0.70000	0.60000
0.55757	0.60472	0.60000	0.70000
0.55760	0.60494	0.50000	0.60000
0.55809	0.60518	0.60000	0.70000
0.55768	0.60541	0.50000	0.80000
0.55811	0.60564	0.40000	0.70000
0.55883	0.60584	0.50000	0.60000
0.55963	0.60606	0.60000	0.70000
0.55922	0.60627	0.70000	0.80000
0.55956	0.60649	0.60000	0.70000
0.55958	0.60670	0.50000	0.60000
0.55988	0.60693	0.60000	0.70000
0.56022	0.60714	0.50000	0.80000
0.56048	0.60736	0.60000	0.70000
0.56123	0.60757	0.70000	0.60000
0.56116	0.60779	0.80000	0.70000
0.56182	0.60803	0.70000	0.60000
0.56195	0.60823	0.60000	0.70000
0.56171	0.60844	0.70000	0.80000
0.56263	0.60867	0.80000	0.70000
0.56331	0.60889	0.70000	0.60000
0.56328	0.60917	0.60000	0.70000
0.56389	0.60938	0.70000	0.80000
0.56427	0.60962	0.80000	0.70000
0.56398	0.60987	0.90000	0.60000
0.56454	0.61009	0.80000	0.70000
0.56549	0.61034	0.70000	0.80000
