#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10
1 3194 0 0 0 0 0 1 0 0 0 0
2 1570 0 0 0 0 0 0 0 0 0 0
3 985 0 0 1 1 0 0 0 0 0 0
4 826 0 0 1 0 0 0 0 0 0 0
5 650 0 1 1 1 0 0 0 0 0 0
6 535 0 0 1 0 0 0 0 0 0 0
7 430 0 0 0 0 0 1 0 0 1 0
8 394 0 0 1 1 0 0 0 0 0 0
9 360 0 0 1 0 0 1 0 0 0 0
10 316 0 0 1 1 0 0 0 0 0 0
11 291 0 0 1 0 0 0 0 0 0 0
12 268 0 1 1 0 0 0 0 0 0 0
13 245 0 0 0 1 0 0 0 0 0 0
14 229 0 0 0 0 0 0 0 0 0 0
15 224 0 0 0 0 0 1 0 0 0 0
16 193 0 0 0 1 0 0 0 0 0 0
17 183 0 0 0 0 0 1 0 0 0 0
18 177 0 1 0 0 0 0 0 0 0 0
19 156 0 0 0 1 0 0 0 0 0 0
20 158 0 0 0 0 0 1 0 0 0 0
21 132 0 0 1 0 0 0 0 0 0 0
22 151 0 0 1 0 0 0 0 0 0 0
23 139 0 0 0 0 0 0 0 0 1 0
24 125 0 0 0 0 0 1 0 0 0 0
25 114 0 0 0 0 0 0 0 0 0 0
26 105 0 0 0 0 0 0 0 0 0 0
27 112 0 0 0 0 0 0 0 0 0 0
28 122 0 0 0 0 0 0 0 0 0 0
29 107 0 0 0 0 0 0 0 0 0 0
30 113 0 0 0 0 0 0 0 0 0 0
31 98 0 0 0 0 0 0 0 0 0 1
32 82 0 0 0 0 0 0 0 0 0 0
33 99 0 1 0 0 0 0 0 0 0 1
34 67 0 0 0 0 0 0 0 0 0 0
35 94 0 0 0 1 0 0 0 0 0 0
36 82 0 0 0 0 0 0 0 0 0 0
37 68 0 1 0 0 0 0 0 0 0 0
38 106 0 0 0 1 0 0 0 0 0 0
39 74 0 0 0 0 0 0 0 0 0 0
40 77 0 0 0 0 0 1 0 0 0 0
41 69 0 0 0 0 0 0 0 0 0 0
42 87 0 0 0 0 0 0 0 0 0 0
43 72 0 0 0 0 0 0 0 0 0 0
44 79 0 0 0 0 0 0 0 0 0 0
45 67 0 0 0 0 0 0 0 0 0 0
46 59 0 0 0 0 0 0 0 0 0 0
47 83 0 1 0 0 0 0 0 0 0 0
48 81 0 0 0 0 0 0 0 0 0 1
49 70 0 0 0 0 0 0 0 0 0 0
50 63 0 0 0 0 0 0 0 0 0 0
51 50 0 0 0 1 0 0 0 0 0 0
52 71 0 1 0 0 0 0 0 0 0 0
53 47 0 1 0 0 0 0 0 0 0 0
54 43 0 0 0 0 0 0 0 0 0 0
55 68 0 0 0 0 0 1 0 0 0 0
56 48 0 0 0 0 0 0 0 0 0 0
57 43 0 0 0 0 0 0 0 0 0 0
58 59 0 0 0 0 0 0 0 0 0 1
59 53 0 0 0 0 0 0 0 0 0 1
60 52 0 0 0 0 0 1 0 0 0 0
61 51 0 0 0 0 0 0 0 0 0 0
62 62 0 0 0 0 0 0 0 0 0 1
63 75 0 0 0 0 0 0 0 0 0 0
64 53 0 1 0 0 0 0 0 0 0 0
65 39 0 0 0 0 0 0 0 0 0 0
66 40 0 0 0 0 0 0 0 0 0 0
67 62 0 0 0 1 0 0 0 0 0 0
68 51 0 0 0 0 0 0 0 0 0 0
69 39 0 0 0 0 0 0 0 0 0 0
70 38 0 0 0 0 0 0 0 0 0 0
71 42 0 0 0 0 0 0 0 0 0 1
72 52 0 0 0 0 0 0 0 0 0 0
73 42 0 0 0 0 0 0 0 0 0 0
74 33 0 0 0 0 0 0 0 0 0 0
75 49 0 0 0 0 0 0 0 0 0 1
76 31 0 0 0 0 0 0 0 0 0 0
77 34 0 0 0 0 0 0 0 0 0 0
78 34 0 0 0 0 0 0 0 0 0 0
79 45 0 0 0 0 0 0 0 0 0 0
80 35 0 0 0 0 0 0 0 0 0 0
81 23 0 0 0 0 0 0 0 0 0 0
82 42 0 0 0 0 0 0 0 0 0 0
83 45 0 0 0 0 0 0 0 0 0 0
84 33 0 0 0 0 0 0 0 0 0 0
85 41 0 0 0 0 0 0 0 0 0 0
86 44 0 0 0 0 0 0 0 0 0 0
87 40 0 0 0 0 0 0 0 0 0 0
88 32 0 1 0 0 0 0 0 0 0 0
89 39 0 0 0 0 0 0 0 0 0 0
90 33 0 0 0 0 0 0 0 0 0 0
91 22 0 0 0 0 0 0 0 0 0 1
92 44 0 0 0 0 0 0 0 0 0 0
93 36 0 0 0 0 0 0 0 0 0 0
94 36 0 1 0 0 0 0 0 0 0 0
95 39 0 0 0 0 0 0 0 0 0 1
96 39 0 0 0 0 0 0 0 0 0 0
97 48 0 0 0 0 0 0 0 0 0 0
98 24 0 0 0 0 0 0 0 0 0 0
99 27 0 0 0 0 0 0 0 0 0 1
100 26 0 0 0 0 0 1 0 0 0 0
