
<<< setup


<<< generate

Found incumbent of value 0,000000 after 0,03 sec. (15,82 ticks)
Aggregator has done 71306 substitutions...
Tried aggregator 12 times.
MIP Presolve eliminated 66241 rows and 235678 columns.
MIP Presolve modified 49536 coefficients.
Aggregator did 72620 substitutions.
Reduced MIP has 82205 rows, 203431 columns, and 569726 nonzeros.
Reduced MIP has 32830 binaries, 6378 generals, 0 SOSs, and 0 indicators.
Presolve time = 13,26 sec. (10545,84 ticks)
Probing time = 0,57 sec. (8,05 ticks)
Tried aggregator 1 time.
Reduced MIP has 82205 rows, 203431 columns, and 569726 nonzeros.
Reduced MIP has 32830 binaries, 6378 generals, 0 SOSs, and 0 indicators.
Presolve time = 0,52 sec. (250,86 ticks)
Probing time = 0,10 sec. (7,94 ticks)
Clique table members: 1733.
MIP emphasis: balance optimality and feasibility.
MIP search method: dynamic search.
Parallel mode: deterministic, using up to 24 threads.
Root relaxation solution time = 4,28 sec. (4197,39 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap

*     0+    0                            0,0000    47132,7468              --- 
      0     0    10913,0891  2237        0,0000    10913,0891     6430     --- 
      0     0    10734,3826  2004        0,0000    Cuts: 6885    25114     --- 
      0     0    10484,3024  2601        0,0000    Cuts: 5744    36720     --- 
      0     0    10279,4573  2718        0,0000    Cuts: 6563    49790     --- 
*     0+    0                         3366,4839    10279,4573           205,35%
*     0+    0                         4798,3915    10279,4573           114,23%
*     0+    0                         5685,6717    10279,4573            80,80%
*     0+    0                         7124,7103    10279,4573            44,28%
      0     0    10139,8465  2535     7124,7103    Cuts: 6337    57571   42,32%
      0     0    10047,8718  1998     7124,7103    Cuts: 6055    67224   41,03%
      0     0     9996,5023  1974     7124,7103    Cuts: 5725    79197   40,31%
      0     0     9957,0920  2480     7124,7103    Cuts: 5275    87432   39,75%
      0     0     9923,7542  1824     7124,7103    Cuts: 4655    94919   39,29%
      0     0     9897,5972  1534     7124,7103    Cuts: 4420   102120   38,92%
      0     0     9876,2756  1371     7124,7103    Cuts: 3461   106617   38,62%
      0     0     9863,0285  1145     7124,7103    Cuts: 2603   112696   38,43%
      0     0     9854,3277   875     7124,7103    Cuts: 2124   115631   38,31%
      0     0     9850,4954   765     7124,7103    Cuts: 1528   117648   38,26%
      0     0     9847,1683   706     7124,7103    Cuts: 1421   119992   38,21%
      0     0     9845,6248   684     7124,7103    Cuts: 1314   121729   38,19%
      0     0     9843,5991   615     7124,7103    Cuts: 1082   123957   38,16%
      0     0     9842,1033   439     7124,7103    Cuts: 1184   126609   38,14%
      0     0     9840,8346   344     7124,7103     Cuts: 785   129483   38,12%
      0     0     9840,1325   350     7124,7103     Cuts: 456   129997   38,11%
      0     0     9839,7122   261     7124,7103     Cuts: 466   130495   38,11%
      0     0     9839,3335   247     7124,7103     Cuts: 326   131135   38,10%
Heuristic still looking.
Heuristic still looking.
Heuristic still looking.
      0     2     9839,3335   247     7124,7103     9839,3335   131135   38,10%
Elapsed time = 663,76 sec. (435824,82 ticks, tree = 0,00 MB, solutions = 5)
      1     3     9839,2029   282     7124,7103     9839,3335   139783   38,10%
      2     4     9839,2804   265     7124,7103     9839,3335   140776   38,10%
      3     5     9838,8010   264     7124,7103     9839,2804   140836   38,10%
      4     6     9839,0275   233     7124,7103     9839,2804   154137   38,10%
      5     7     9834,3760   255     7124,7103     9839,2804   176687   38,10%
      8    10     9834,1652   252     7124,7103     9839,2804   178136   38,10%
      9    11     9834,3224   262     7124,7103     9839,2804   178155   38,10%
     10    12     9838,8544   226     7124,7103     9839,1483   181423   38,10%
     12    14     9834,0632   262     7124,7103     9839,1483   190820   38,10%
     13    15     9838,2274   330     7124,7103     9839,1483   193001   38,10%
Elapsed time = 996,75 sec. (624506,83 ticks, tree = 0,00 MB, solutions = 5)
     16    18     9838,0067   295     7124,7103     9839,1483   200762   38,10%
     20    22     9838,8442   259     7124,7103     9839,1351   232074   38,10%
     22    24     9833,6532   275     7124,7103     9839,1351   237241   38,10%
     26    28     9818,3628   206     7124,7103     9839,1351   246767   38,10%
     29    31     9801,0933   300     7124,7103     9839,1351   261778   38,10%
     31    33     9816,5915   230     7124,7103     9839,1351   276953   38,10%
     33    35     9838,8468   238     7124,7103     9839,1351   277364   38,10%
     37    39     9818,8674   216     7124,7103     9839,1351   278672   38,10%
     38    40     9832,8229   232     7124,7103     9839,1351   280378   38,10%
     39    41     9816,5704   216     7124,7103     9839,1351   301347   38,10%
Elapsed time = 1390,98 sec. (842291,95 ticks, tree = 0,00 MB, solutions = 5)
     46    48     9799,9793   491     7124,7103     9839,1351   344252   38,10%
     55    57     9799,9771   495     7124,7103     9839,1351   369154   38,10%
     62    64     9799,9784   495     7124,7103     9839,1351   435494   38,10%
     65    67     9838,7135   230     7124,7103     9839,1351   436117   38,10%
     66    68     9833,1614   289     7124,7103     9839,1351   437152   38,10%
     68    70     9801,3660   327     7124,7103     9839,1351   438696   38,10%
     70    72     9816,4575   208     7124,7103     9839,1351   443849   38,10%
     80    82     9822,6574   342     7124,7103     9839,1351   462351   38,10%
     81    83     9818,6324   206     7124,7103     9839,1351   474207   38,10%
     86    88     9801,1195   339     7124,7103     9839,1351   537526   38,10%
Elapsed time = 1843,93 sec. (950821,70 ticks, tree = 0,00 MB, solutions = 5)
     87    89     9801,1759   357     7124,7103     9839,1351   561299   38,10%
    104   106     9822,6376   465     7124,7103     9839,1351   595832   38,10%
    110   112     9801,0200   349     7124,7103     9839,1351   626397   38,10%
    513   515     9817,1274   225     7124,7103     9839,1351  1130438   38,10%
   1004  1006     9838,7051   234     7124,7103     9839,1351  1289493   38,10%
   1008  1010     9797,9585   338     7124,7103     9839,1351  1366447   38,10%
   1062  1064     9799,7170   353     7124,7103     9839,1351  1735429   38,10%
   1359  1361     9838,2012   226     7124,7103     9839,1351  1889346   38,10%
   1365  1367     9811,6453   218     7124,7103     9839,1351  1934906   38,10%
   1388  1390     9814,8642   249     7124,7103     9839,1351  2059756   38,10%
Elapsed time = 3860,26 sec. (1312827,11 ticks, tree = 19,06 MB, solutions = 5)
   1389  1391     9811,6391   231     7124,7103     9839,1351  2072332   38,10%
   1412  1414     9798,1926   296     7124,7103     9839,1351  2259325   38,10%
   1413  1415     9811,6297   205     7124,7103     9839,1351  2269606   38,10%
   1433  1435     9825,7105   265     7124,7103     9839,1351  2452534   38,10%
   1439  1441     9820,0277   260     7124,7103     9839,1351  2489349   38,10%
   1567  1569     9838,1850   213     7124,7103     9839,1351  2819425   38,10%
   1581  1583     9788,5157   333     7124,7103     9839,1351  2983366   38,10%
   1591  1593     9838,1851   219     7124,7103     9839,1351  3109796   38,10%
   1607  1609     9821,7846   274     7124,7103     9839,1351  3190682   38,10%
   1629  1631     9796,4566   282     7124,7103     9839,1351  3323826   38,10%
Elapsed time = 5245,81 sec. (1501892,03 ticks, tree = 27,31 MB, solutions = 5)
   1631  1633     9820,5452   281     7124,7103     9839,1351  3331978   38,10%
   1639  1641     9838,1689   193     7124,7103     9839,1351  3412815   38,10%
   1687  1689     9838,1689   192     7124,7103     9839,1351  3650384   38,10%
   1692  1694     9813,4241   268     7124,7103     9839,1351  3683295   38,10%
   1698  1700     9811,9564   253     7124,7103     9839,1351  3771590   38,10%
   1716  1718     9806,7467   225     7124,7103     9839,1351  3876890   38,10%
   1743  1745     9813,0701   290     7124,7103     9839,1351  4027281   38,10%
   1835  1837     9811,9206   213     7124,7103     9839,1351  4295277   38,10%
   2213  2215     9820,1848   274     7124,7103     9839,1351  4951328   38,10%
   2482  2484     9838,1618   189     7124,7103     9839,1351  5359119   38,10%
Elapsed time = 6097,03 sec. (1639055,31 ticks, tree = 66,39 MB, solutions = 5)
   2485  2487     9837,3024   207     7124,7103     9839,1351  5362154   38,10%
   2487  2489     9806,6601   244     7124,7103     9839,1351  5375834   38,10%
   2501  2503     9811,9202   226     7124,7103     9839,1351  5403065   38,10%
   2525  2527     9811,9198   208     7124,7103     9839,1351  5477902   38,10%
   2533  2535     9837,2819   218     7124,7103     9839,1351  5553696   38,10%
   2556  2558     9827,8812   249     7124,7103     9839,1351  5656832   38,10%
   2580  2582     9824,8411   316     7124,7103     9839,1351  5786897   38,10%
   2604  2606     9827,8775   252     7124,7103     9839,1351  5864014   38,10%
   2636  2638     9819,8407   341     7124,7103     9839,1351  6095880   38,10%
   2660  2662     9819,3777   354     7124,7103     9839,1351  6179064   38,10%
Elapsed time = 8399,79 sec. (1893502,78 ticks, tree = 66,39 MB, solutions = 5)
   2677  2679     9835,7895   211     7124,7103     9839,1351  6220550   38,10%
   2684  2686     9814,0977   513     7124,7103     9839,1351  6274073   38,10%
   2841  2843     9803,4761   287     7124,7103     9839,1351  6916170   38,10%
   2964  2966     9837,0190   221     7124,7103     9839,1351  7511997   38,10%
   3594  3596     9837,7081   213     7124,7103     9839,1351  9631250   38,10%
   3595  3597     9838,1696   233     7124,7103     9839,1351  9632356   38,10%
   3596  3598     9827,8391   226     7124,7103     9839,1351  9652209   38,10%
   3597  3599     9834,9285   193     7124,7103     9839,1351  9679768   38,10%
   3608  3610     9794,8053   281     7124,7103     9839,1351  9776969   38,10%
   3625  3627     9813,0100   208     7124,7103     9839,1351  9866774   38,10%
Elapsed time = 11828,75 sec. (2329600,85 ticks, tree = 109,95 MB, solutions = 5)
   3769  3771     9813,0088   214     7124,7103     9839,1351 10568439   38,10%
   3793  3795     9813,0099   216     7124,7103     9839,1351 10633805   38,10%
   3830  3832     9813,5879   233     7124,7103     9839,1351 10759325   38,10%
   3854  3856     9813,5887   234     7124,7103     9839,1351 10787246   38,10%
   3911  3913     9813,0020   209     7124,7103     9839,1351 10919461   38,10%
   3935  3937     9812,3540   288     7124,7103     9839,1351 11013033   38,10%
   4028  4030     9834,7726   202     7124,7103     9839,1351 11272005   38,10%
   4400  4402     9837,4655   220     7124,7103     9839,1351 11888976   38,10%
   4403  4405     9834,4193   200     7124,7103     9839,1351 11897928   38,10%
   4411  4413     9808,4145   208     7124,7103     9839,1351 11916830   38,10%
Elapsed time = 13119,84 sec. (2500084,22 ticks, tree = 140,36 MB, solutions = 5)
   4421  4423     9795,5215   194     7124,7103     9839,1351 11953366   38,10%
   4427  4429     9832,6229   222     7124,7103     9839,1351 11967147   38,10%
   4431  4433     9812,8598   212     7124,7103     9839,1351 11973730   38,10%
   4445  4447     9795,0456   222     7124,7103     9839,1351 12011348   38,10%
   4451  4453     9829,9465   329     7124,7103     9839,1351 12035742   38,10%
   4459  4461     9808,4141   214     7124,7103     9839,1351 12088266   38,10%
   4469  4471     9792,6378   186     7124,7103     9839,1351 12121985   38,10%
   4479  4481     9812,8419   204     7124,7103     9839,1351 12162956   38,10%
   4483  4485     9808,4123   223     7124,7103     9839,1351 12172716   38,10%
   4493  4495     9792,6378   193     7124,7103     9839,1351 12205062   38,10%
Elapsed time = 14023,33 sec. (2600502,20 ticks, tree = 140,36 MB, solutions = 5)
   4503  4505     9812,7842   190     7124,7103     9839,1351 12257664   38,10%
   4517  4519     9792,6378   193     7124,7103     9839,1351 12305622   38,10%
   4551  4553     9809,6139   195     7124,7103     9839,1351 12411135   38,10%
