AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 0 
2 0 0 0 0 0 
3 2 0 0 0 0 
4 21 0 0 0 0 
5 0 0 0 0 0 
6 29 0 0 0 0 
7 0 0 0 0 0 
8 0 0 0 0 0 
9 2 0 0 0 0 
10 0 0 0 0 0 
