#load	QoE_without_cache	QoE_with_cache	#q1	#q2	#q3
1e3		0					0.986			1	1	2
1.5e3	0					0.986			1	1	2
2e3		0					0.986			1	1	3
2.5e3	0					0.978			5	1	0
3e3
