link load
2-1 1
1-2 0.335714
11-1 0.872857
1-11 1
11-2 1
2-11 1
11-10 1
10-11 0.597143
3-2 1
2-3 0.98
4-3 0.3
3-4 1
5-4 -2.040794744080275e-15
4-5 1
6-5 0.174286
5-6 1
7-6 1
6-7 1
8-4 1
4-8 1
8-7 1
7-8 0.000816327
9-3 1
3-9 0.357143
9-8 0.185714
8-9 1
10-9 0.611429
9-10 1
