link load
1-2 0.208163
2-1 0.394286
2-3 0.33551
3-2 0.592041
1-4 0.203878
4-1 0.0844898
3-5 0.548571
5-3 0.893265
5-6 0.189184
6-5 0.195918
3-7 0.33
7-3 0.110204
7-8 0.0991837
8-7 0.0538776
5-9 0.260204
9-5 0.767143
3-10 0.101633
10-3 0.416327
