AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 23 18 1 0 4 
2 0 0 0 0 0 
3 0 0 0 0 0 
4 0 0 0 0 0 
5 29 11 3 0 4 
6 0 0 0 0 0 
7 23 18 1 0 4 
8 31 17 2 0 3 
9 23 18 1 0 4 
10 0 0 0 0 0 
