AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 0 
2 0 0 0 0 0 
3 0 3 9 2 4 
4 0 6 7 1 5 
5 0 0 0 0 0 
6 0 0 0 0 0 
7 0 2 2 1 8 
8 0 0 0 0 0 
9 0 6 6 3 4 
10 0 14 3 4 3 
