AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 127 12 4 0 5 
2 0 0 0 0 0 
3 0 0 0 0 0 
4 0 0 0 0 0 
5 128 23 4 1 2 
6 149 14 1 0 4 
7 78 13 6 3 6 
8 0 0 0 0 0 
9 0 0 0 0 0 
10 146 11 6 1 2 
11 0 0 0 0 0 
