#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
121 12 0 0 0 0 0 0 0 0 0 0 0
122 16 0 0 0 0 0 0 0 0 0 0 0
123 24 0 0 0 0 0 0 0 0 0 0 0
124 9 0 0 0 0 0 0 0 0 0 0 0
125 15 0 0 0 0 0 0 0 0 0 0 0
126 21 0 0 0 0 0 0 0 0 0 0 0
127 14 0 0 0 0 0 0 0 0 0 0 0
128 20 0 0 0 0 0 0 0 0 0 0 0
129 22 0 0 0 0 0 0 0 0 0 0 0
130 15 0 0 0 0 0 0 0 0 0 0 0
131 11 0 0 0 0 0 0 0 0 0 0 0
132 15 0 0 0 0 0 0 0 0 0 0 0
133 20 0 0 0 0 0 0 0 0 0 0 0
134 18 0 0 0 0 0 0 0 0 0 0 0
135 19 0 0 0 0 0 0 0 0 0 0 0
136 13 0 0 0 0 0 0 0 0 0 0 0
137 16 0 0 0 0 0 0 0 0 0 0 0
138 13 0 0 0 0 0 0 0 0 0 0 0
139 16 0 0 0 0 0 0 0 0 0 0 0
140 11 0 0 0 0 0 0 0 0 0 0 0
141 19 0 0 0 0 0 0 0 0 0 0 0
142 11 0 0 0 0 0 0 0 0 0 0 0
143 16 0 0 0 0 0 0 0 0 0 0 0
144 15 0 0 0 0 0 0 0 0 0 0 0
145 13 0 0 0 0 0 0 0 0 0 0 0
146 10 0 0 0 0 0 0 0 0 0 0 0
147 19 0 0 0 0 0 0 0 0 0 0 0
148 16 0 0 0 0 0 0 0 0 0 0 0
149 12 0 0 0 0 0 0 0 0 0 0 0
150 16 0 0 0 0 0 0 0 0 0 0 0
151 24 0 0 0 0 0 0 0 0 0 0 0
152 16 0 0 0 0 0 0 0 0 0 0 0
153 18 0 0 0 0 0 0 0 0 0 0 0
154 11 0 0 0 0 0 0 0 0 0 0 0
155 11 0 0 0 0 0 0 0 0 0 0 0
156 10 0 0 0 0 0 0 0 0 0 0 0
157 14 0 0 0 0 0 0 0 0 0 0 0
158 19 0 0 0 0 0 0 0 0 0 0 0
159 23 0 0 0 0 0 0 0 0 0 0 0
160 15 0 0 0 0 0 0 0 0 0 0 0
161 19 0 0 0 0 0 0 0 0 0 0 0
162 9 0 0 0 0 0 0 0 0 0 0 0
163 11 0 0 0 0 0 0 0 0 0 0 0
164 17 0 0 0 0 0 0 0 0 0 0 0
165 18 0 0 0 0 0 0 0 0 0 0 0
166 12 0 0 0 0 0 0 0 0 0 0 0
167 10 0 0 0 0 0 0 0 0 0 0 0
168 14 0 0 0 0 0 0 0 0 0 0 0
169 12 0 0 0 0 0 0 0 0 0 0 0
170 13 0 0 0 0 0 0 0 0 0 0 0
171 10 0 0 0 0 0 0 0 0 0 0 0
172 16 0 0 0 0 0 0 0 0 0 0 0
173 16 0 0 0 0 0 0 0 0 0 0 0
174 10 0 0 0 0 0 0 0 0 0 0 0
175 6 0 0 0 0 0 0 0 0 0 0 0
176 19 0 0 0 0 0 0 0 0 0 0 0
177 8 0 0 0 0 0 0 0 0 0 0 0
178 6 0 0 0 0 0 0 0 0 0 0 0
179 20 0 0 0 0 0 0 0 0 0 0 0
180 4 0 0 0 0 0 0 0 0 0 0 0
181 10 0 0 0 0 0 0 0 0 0 0 0
182 16 0 0 0 0 0 0 0 0 0 0 0
183 8 0 0 0 0 0 0 0 0 0 0 0
184 14 0 0 0 0 0 0 0 0 0 0 0
185 13 0 0 0 0 0 0 0 0 0 0 0
186 12 0 0 0 0 0 0 0 0 0 0 0
187 13 0 0 0 0 0 0 0 0 0 0 0
188 14 0 0 0 0 0 0 0 0 0 0 0
189 14 0 0 0 0 0 0 0 0 0 0 0
190 11 0 0 0 0 0 0 0 0 0 0 0
191 13 0 0 0 0 0 0 0 0 0 0 0
192 9 0 0 0 0 0 0 0 0 0 0 0
193 8 0 0 0 0 0 0 0 0 0 0 0
194 12 0 0 0 0 0 0 0 0 0 0 0
195 8 0 0 0 0 0 0 0 0 0 0 0
196 11 0 0 0 0 0 0 0 0 0 0 0
197 12 0 0 0 0 0 0 0 0 0 0 0
198 10 0 0 0 0 0 0 0 0 0 0 0
199 11 0 0 0 0 0 0 0 0 0 0 0
200 10 0 0 0 0 0 0 0 0 0 0 0
201 10 0 0 0 0 0 0 0 0 0 0 0
202 14 0 0 0 0 0 0 0 0 0 0 0
203 17 0 0 0 0 0 0 0 0 0 0 0
204 11 0 0 0 0 0 0 0 0 0 0 0
205 9 0 0 0 0 0 0 0 0 0 0 0
206 16 0 0 0 0 0 0 0 0 0 0 0
207 16 0 0 0 0 0 0 0 0 0 0 0
208 3 0 0 0 0 0 0 0 0 0 0 0
209 11 0 0 0 0 0 0 0 0 0 0 0
210 15 0 0 0 0 0 0 0 0 0 0 0
211 5 0 0 0 0 0 0 0 0 0 0 0
212 8 0 0 0 0 0 0 0 0 0 0 0
213 11 0 0 0 0 0 0 0 0 0 0 0
214 3 0 0 0 0 0 0 0 0 0 0 0
215 13 0 0 0 0 0 0 0 0 0 0 0
216 7 0 0 0 0 0 0 0 0 0 0 0
217 10 0 0 0 0 0 0 0 0 0 0 0
218 10 0 0 0 0 0 0 0 0 0 0 0
219 6 0 0 0 0 0 0 0 0 0 0 0
220 7 0 0 0 0 0 0 0 0 0 0 0
221 14 0 0 0 0 0 0 0 0 0 0 0
222 7 0 0 0 0 0 0 0 0 0 0 0
223 15 0 0 0 0 0 0 0 0 0 0 0
