
<<< setup


<<< generate

Found incumbent of value 0,000000 after 0,02 sec. (19,48 ticks)
Aggregator has done 72502 substitutions...
Tried aggregator 15 times.
MIP Presolve eliminated 65343 rows and 294956 columns.
MIP Presolve modified 74266 coefficients.
Aggregator did 92215 substitutions.
Reduced MIP has 99474 rows, 247870 columns, and 693339 nonzeros.
Reduced MIP has 36914 binaries, 9402 generals, 0 SOSs, and 0 indicators.
Presolve time = 19,99 sec. (16032,05 ticks)
Probing time = 0,36 sec. (9,68 ticks)
Tried aggregator 1 time.
Reduced MIP has 99474 rows, 247870 columns, and 693339 nonzeros.
Reduced MIP has 36914 binaries, 9402 generals, 0 SOSs, and 0 indicators.
Presolve time = 0,70 sec. (303,70 ticks)
Probing time = 0,11 sec. (9,56 ticks)
Clique table members: 1940.
MIP emphasis: balance optimality and feasibility.
MIP search method: dynamic search.
Parallel mode: deterministic, using up to 24 threads.
Root relaxation solution time = 6,43 sec. (5723,45 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap

*     0+    0                            0,0000    70222,1468              --- 
      0     0    16552,0779  2883        0,0000    16552,0779     9794     --- 
      0     0    16266,9566  2679        0,0000    Cuts: 8621    30247     --- 
      0     0    15932,2156  3285        0,0000    Cuts: 7727    40173     --- 
      0     0    15476,9637  3420        0,0000    Cuts: 8290    57235     --- 
*     0+    0                         4202,2954    15476,9637           268,30%
      0     0    15235,5250  2962     4202,2954    Cuts: 7546    76555  262,55%
      0     0    15014,8631  3914     4202,2954    Cuts: 7660    91974  257,30%
      0     0    14916,4992  3351     4202,2954    Cuts: 6859   104890  254,96%
      0     0    14850,4297  2635     4202,2954    Cuts: 6763   116022  253,39%
      0     0    14810,7104  3383     4202,2954    Cuts: 5523   123164  252,44%
      0     0    14766,2760  2586     4202,2954    Cuts: 5534   134958  251,39%
      0     0    14739,3164  1858     4202,2954    Cuts: 4536   140463  250,74%
      0     0    14723,1970  1556     4202,2954    Cuts: 3100   143480  250,36%
      0     0    14709,6674   916     4202,2954    Cuts: 2683   146525  250,04%
      0     0    14701,8907   938     4202,2954    Cuts: 1440   148861  249,85%
      0     0    14697,6933   741     4202,2954    Cuts: 1411   151167  249,75%
      0     0    14695,8194   677     4202,2954     Cuts: 994   152920  249,71%
      0     0    14693,6017   484     4202,2954     Cuts: 914   155028  249,66%
      0     0    14691,1882   506     4202,2954     Cuts: 687   156567  249,60%
      0     0    14690,4749   550     4202,2954     Cuts: 634   157680  249,58%
Heuristic still looking.
Heuristic still looking.
      0     2    14690,4749   550     4202,2954    14690,4749   157680  249,58%
Elapsed time = 994,34 sec. (710971,03 ticks, tree = 0,00 MB, solutions = 2)
      1     3    14685,8024   555     4202,2954    14690,4749   157696  249,58%
      2     4    14677,8554   534     4202,2954    14690,4749   161107  249,58%
      3     5    14674,5790   535     4202,2954    14679,1978   161111  249,31%
      4     6    14679,1974   553     4202,2954    14679,1978   163881  249,31%
      7     9    14678,1500   573     4202,2954    14679,1978   166078  249,31%
      9    11    14648,9287   536     4202,2954    14679,1978   166130  249,31%
     10    12    14645,0764   532     4202,2954    14679,1978   166148  249,31%
     11    13    14669,6439   591     4202,2954    14678,1497   166670  249,29%
     14    16    14674,1284   629     4202,2954    14678,1497   169090  249,29%
     17    19    14636,5800   609     4202,2954    14678,1497   178213  249,29%
Elapsed time = 1084,23 sec. (773548,70 ticks, tree = 0,00 MB, solutions = 2)
     22    24    14635,5334   633     4202,2954    14678,1497   178817  249,29%
     25    27    14606,3111   604     4202,2954    14678,1497   178840  249,29%
     26    28    14668,5532   596     4202,2954    14678,1497   178939  249,29%
     28    30    14603,4180   602     4202,2954    14678,1497   179565  249,29%
     33    35    14622,6508   598     4202,2954    14678,1497   180822  249,29%
     35    37    14603,4439   613     4202,2954    14678,1497   182026  249,29%
     40    42    14617,2799   608     4202,2954    14678,1497   183511  249,29%
     44    46    14578,6218   578     4202,2954    14678,1497   183763  249,29%
     47    49    14668,5462   616     4202,2954    14678,1497   184587  249,29%
     51    53    14673,1614   680     4202,2954    14678,1497   186648  249,29%
Elapsed time = 1150,69 sec. (795869,03 ticks, tree = 0,00 MB, solutions = 2)
     54    56    14621,6700   673     4202,2954    14678,1497   189312  249,29%
     55    57    14580,1301   578     4202,2954    14678,1497   196122  249,29%
     59    61    14594,6482   543     4202,2954    14678,1497   212442  249,29%
     66    68    14553,6258   656     4202,2954    14678,1497   251288  249,29%
    162   164    14668,2728   637     4202,2954    14678,1497   286177  249,29%
    163   165    14644,2875   567     4202,2954    14678,1497   286291  249,29%
    185   187    14672,5718   628     4202,2954    14678,1497   295097  249,29%
    313   315    14654,3823   630     4202,2954    14678,1497   308552  249,29%
    328   330    14673,7176   600     4202,2954    14678,1497   309052  249,29%
    380   382    14643,8739   581     4202,2954    14678,1497   313514  249,29%
Elapsed time = 2248,85 sec. (1132544,27 ticks, tree = 0,00 MB, solutions = 2)
    382   384    14671,8687   633     4202,2954    14678,1497   314736  249,29%
    454   456    14671,8658   640     4202,2954    14678,1497   318280  249,29%
