#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
1 1533 0 0 0 0 1 1 0 0 0 1 0
2 802 0 0 0 0 0 1 1 0 0 0 0
3 548 1 0 0 0 0 0 0 0 0 0 0
4 415 1 0 0 0 0 0 0 0 0 0 0
5 313 0 0 0 0 0 0 0 0 0 0 0
6 240 0 0 0 0 0 0 0 0 0 0 0
7 209 0 0 0 0 0 0 0 0 0 0 0
8 193 0 0 0 0 0 0 0 0 0 0 0
9 168 0 0 0 0 0 0 0 0 0 0 0
10 172 0 0 0 0 0 0 0 0 0 0 0
11 149 0 0 0 0 0 0 0 0 0 0 0
12 103 0 0 0 0 0 0 0 0 0 0 0
13 112 0 0 0 0 0 0 0 0 0 0 0
14 146 0 0 0 0 0 0 0 0 0 0 0
15 111 0 0 0 0 0 0 0 0 0 0 0
16 90 0 0 0 0 0 0 0 0 0 0 0
17 83 0 0 0 0 0 0 0 0 0 0 0
18 94 0 0 0 0 0 0 0 0 0 0 0
19 70 0 0 0 0 0 0 0 0 0 0 0
20 90 0 0 0 0 0 0 0 0 0 0 0
21 69 0 0 0 0 0 0 0 0 0 0 0
22 69 0 0 0 0 0 0 0 0 0 0 0
23 81 0 0 0 0 0 0 0 0 0 0 0
24 53 0 0 0 0 0 0 0 0 0 0 0
25 52 0 0 0 0 0 0 0 0 0 0 0
26 61 0 0 0 0 0 0 0 0 0 0 0
27 64 0 0 0 0 0 0 0 0 0 0 0
28 58 0 0 0 0 0 0 0 0 0 0 0
29 70 0 0 0 0 0 0 0 0 0 0 0
30 55 0 0 0 0 0 0 0 0 0 0 0
31 43 0 0 0 0 0 0 0 0 0 0 0
32 51 0 0 0 0 0 0 0 0 0 0 0
33 50 0 0 0 0 0 0 0 0 0 0 0
34 48 0 0 0 0 0 0 0 0 0 0 0
35 43 0 0 0 0 0 0 0 0 0 0 0
36 36 0 0 0 0 0 0 0 0 0 0 0
37 45 0 0 0 0 0 0 0 0 0 0 0
38 48 0 0 0 0 0 0 0 0 0 0 0
39 37 0 0 0 0 0 0 0 0 0 0 0
40 44 0 0 0 0 0 0 0 0 0 0 0
41 44 0 0 0 0 0 0 0 0 0 0 0
42 35 0 0 0 0 0 0 0 0 0 0 0
43 39 0 0 0 0 0 0 0 0 0 0 0
44 42 0 0 0 0 0 0 0 0 0 0 0
45 31 0 0 0 0 0 0 0 0 0 0 0
46 25 0 0 0 0 0 0 0 0 0 0 0
47 40 0 0 0 0 0 0 0 0 0 0 0
48 33 0 0 0 0 0 0 0 0 0 0 0
49 38 0 0 0 0 0 0 0 0 0 0 0
50 22 0 0 0 0 0 0 0 0 0 0 0
51 28 0 0 0 0 0 0 0 0 0 0 0
52 30 0 0 0 0 0 0 0 0 0 0 0
53 26 0 0 0 0 0 0 0 0 0 0 0
54 22 0 0 0 0 0 0 0 0 0 0 0
55 29 0 0 0 0 0 0 0 0 0 0 0
56 34 0 0 0 0 0 0 0 0 0 0 0
57 24 0 0 0 0 0 0 0 0 0 0 0
58 29 0 0 0 0 0 0 0 0 0 0 0
59 29 0 0 0 0 0 0 0 0 0 0 0
60 36 0 0 0 0 0 0 0 0 0 0 0
61 20 0 0 0 0 0 0 0 0 0 0 0
62 31 0 0 0 0 0 0 0 0 0 0 0
63 27 0 0 0 0 0 0 0 0 0 0 0
64 30 0 0 0 0 0 0 0 0 0 0 0
65 24 0 0 0 0 0 0 0 0 0 0 0
66 23 0 0 0 0 0 0 0 0 0 0 0
67 23 0 0 0 0 0 0 0 0 0 0 0
68 25 0 0 0 0 0 0 0 0 0 0 0
69 26 0 0 0 0 0 0 0 0 0 0 0
70 22 0 0 0 0 0 0 0 0 0 0 0
71 33 0 0 0 0 0 0 0 0 0 0 0
72 24 0 0 0 0 0 0 0 0 0 0 0
73 16 0 0 0 0 0 0 0 0 0 0 0
74 25 0 0 0 0 0 0 0 0 0 0 0
75 16 0 0 0 0 0 0 0 0 0 0 0
76 16 0 0 0 0 0 0 0 0 0 0 0
77 19 0 0 0 0 0 0 0 0 0 0 0
78 21 0 0 0 0 0 0 0 0 0 0 0
79 13 0 0 0 0 0 0 0 0 0 0 0
80 18 0 0 0 0 0 0 0 0 0 0 0
81 14 0 0 0 0 0 0 0 0 0 0 0
82 13 0 0 0 0 0 0 0 0 0 0 0
83 25 0 0 0 0 0 0 0 0 0 0 0
84 22 0 0 0 0 0 0 0 0 0 0 0
85 18 0 0 0 0 0 0 0 0 0 0 0
86 17 0 0 0 0 0 0 0 0 0 0 0
87 17 0 0 0 0 0 0 0 0 0 0 0
88 14 0 0 0 0 0 0 0 0 0 0 0
89 14 0 0 0 0 0 0 0 0 0 0 0
90 17 0 0 0 0 0 0 0 0 0 0 0
91 20 0 0 0 0 0 0 0 0 0 0 0
92 18 0 0 0 0 0 0 0 0 0 0 0
93 27 0 0 0 0 0 0 0 0 0 0 0
94 19 0 0 0 0 0 0 0 0 0 0 0
95 22 0 0 0 0 0 0 0 0 0 0 0
96 23 0 0 0 0 0 0 0 0 0 0 0
97 14 0 0 0 0 0 0 0 0 0 0 0
98 17 0 0 0 0 0 0 0 0 0 0 0
99 14 0 0 0 0 0 0 0 0 0 0 0
100 17 0 0 0 0 0 0 0 0 0 0 0
