AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 12 18 3 0 4 
2 8 7 9 0 4 
3 1 8 1 4 5 
4 9 11 0 0 7 
5 35 9 1 1 4 
6 11 8 4 1 5 
7 5 10 2 1 6 
8 41 14 2 1 2 
9 52 11 3 0 2 
10 36 8 3 0 4 
