AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 1 
2 0 5 0 0 0 
3 0 5 0 0 0 
4 0 0 0 0 1 
5 0 2 1 0 0 
6 0 5 0 0 0 
7 0 0 0 0 1 
8 0 5 0 0 0 
9 0 5 0 0 0 
10 0 0 0 0 1 
11 0 5 0 0 0 
