AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 0 
2 0 0 0 0 0 
3 0 0 0 0 0 
4 1 11 0 1 7 
5 0 20 3 1 4 
6 3 8 1 1 7 
7 2 7 1 0 8 
