#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7
1 861 0 0 0 1 1 1 1
2 447 0 0 0 1 0 1 1
3 293 0 0 0 1 1 1 0
4 202 0 0 0 0 0 1 0
5 168 0 0 0 0 1 0 1
6 146 0 0 0 0 0 0 1
7 113 0 0 0 0 0 1 1
8 121 0 0 0 0 0 1 1
9 88 0 0 0 0 1 1 0
10 99 0 0 0 1 0 0 1
11 86 0 0 0 0 0 0 1
12 69 0 0 0 1 0 0 0
13 69 0 0 0 1 0 0 0
14 73 0 0 0 0 0 0 0
15 71 0 0 0 0 0 0 0
16 48 0 0 0 0 0 0 0
17 49 0 0 0 0 0 0 0
18 46 0 0 0 0 0 0 0
19 44 0 0 0 0 0 0 0
20 41 0 0 0 1 0 0 0
21 26 0 0 0 0 0 0 0
22 42 0 0 0 0 0 0 0
23 27 0 0 0 0 0 0 0
24 43 0 0 0 0 0 0 0
25 34 0 0 0 0 0 0 0
26 41 0 0 0 0 0 0 0
27 31 0 0 0 0 0 0 0
28 33 0 0 0 0 0 0 0
29 28 0 0 0 0 0 0 0
30 23 0 0 0 0 0 0 0
31 28 0 0 0 0 0 0 0
32 37 0 0 0 0 0 0 0
33 38 0 0 0 0 0 0 0
34 25 0 0 0 0 0 0 0
35 24 0 0 0 0 0 0 0
36 25 0 0 0 0 0 0 0
37 21 0 0 0 0 0 0 0
38 21 0 0 0 0 0 0 0
39 27 0 0 0 0 0 0 0
40 26 0 0 0 0 0 0 0
41 22 0 0 0 0 0 0 0
42 23 0 0 0 0 0 0 0
43 14 0 0 0 0 0 0 0
44 19 0 0 0 0 0 0 0
45 19 0 0 0 0 0 0 0
46 27 0 0 0 0 0 0 0
47 14 0 0 0 0 0 0 0
48 25 0 0 0 0 0 0 0
49 16 0 0 0 0 0 0 0
50 14 0 0 0 0 0 0 0
51 14 0 0 0 0 0 0 0
52 27 0 0 0 0 0 0 0
53 15 0 0 0 0 0 0 0
54 20 0 0 0 0 0 0 0
55 17 0 0 0 0 0 0 0
56 15 0 0 0 0 0 0 0
57 28 0 0 0 0 0 0 0
58 11 0 0 0 0 0 0 0
59 14 0 0 0 0 0 0 0
60 10 0 0 0 0 0 0 0
61 15 0 0 0 0 0 0 0
62 17 0 0 0 0 0 0 0
63 14 0 0 0 0 0 0 0
64 13 0 0 0 0 0 0 0
65 9 0 0 0 0 0 0 0
66 17 0 0 0 0 0 0 0
67 8 0 0 0 0 0 0 0
68 13 0 0 0 0 0 0 0
69 19 0 0 0 0 0 0 0
70 14 0 0 0 0 0 0 0
71 9 0 0 0 0 0 0 0
72 11 0 0 0 0 0 0 0
73 7 0 0 0 0 0 0 0
74 8 0 0 0 0 0 0 0
75 11 0 0 0 0 0 0 0
76 6 0 0 0 0 0 0 0
77 9 0 0 0 0 0 0 0
78 16 0 0 0 0 0 0 0
79 10 0 0 0 0 0 0 0
80 16 0 0 0 0 0 0 0
81 12 0 0 0 0 0 0 0
82 8 0 0 0 0 0 0 0
83 11 0 0 0 0 0 0 0
84 12 0 0 0 0 0 0 0
85 14 0 0 0 0 0 0 0
86 7 0 0 0 0 0 0 0
87 19 0 0 0 0 0 0 0
88 6 0 0 0 0 0 0 0
89 9 0 0 0 0 0 0 0
90 9 0 0 0 0 0 0 0
91 13 0 0 0 0 0 0 0
92 12 0 0 0 0 0 0 0
93 8 0 0 0 0 0 0 0
94 11 0 0 0 0 0 0 0
95 6 0 0 0 0 0 0 0
96 11 0 0 0 0 0 0 0
97 12 0 0 0 0 0 0 0
98 9 0 0 0 0 0 0 0
99 11 0 0 0 0 0 0 0
100 4 0 0 0 0 0 0 0
101 4 0 0 0 0 0 0 0
102 10 0 0 0 0 0 0 0
103 5 0 0 0 0 0 0 0
104 5 0 0 0 0 0 0 0
105 8 0 0 0 0 0 0 0
106 13 0 0 0 0 0 0 0
107 8 0 0 0 0 0 0 0
108 10 0 0 0 0 0 0 0
109 11 0 0 0 0 0 0 0
