link load
1-2 0.87551
2-1 1
2-3 1
3-2 1
2-4 1
4-2 1
4-5 1
5-4 0.87551
2-6 1
6-2 0.973061
3-7 1
7-3 0.997265
6-8 1
8-6 0.791837
3-9 1
9-3 0.806408
2-10 0
10-2 0.103265
