#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10
1 1194 0 0 0 0 0 0 0 0 0 0
2 660 0 0 1 0 0 0 0 0 0 0
3 384 0 0 0 1 0 0 0 0 0 0
4 274 0 0 0 0 0 0 0 0 1 0
5 231 0 0 0 0 0 0 0 0 0 0
6 202 0 0 0 0 0 0 0 0 0 0
7 168 0 0 0 0 0 0 0 0 0 0
8 172 0 0 0 0 0 0 0 0 0 0
9 127 0 0 0 0 0 0 0 0 1 0
10 129 0 0 0 0 0 0 0 0 0 1
11 125 0 0 0 0 0 0 0 0 0 0
12 84 0 0 0 0 0 0 0 0 0 0
13 99 0 0 0 1 0 0 0 0 0 0
14 73 0 0 0 0 0 0 0 0 0 0
15 71 0 0 0 0 0 0 0 0 0 0
16 67 0 0 0 0 0 0 0 0 0 0
17 74 0 0 0 0 0 0 0 0 0 0
18 76 0 0 0 0 0 0 0 0 0 0
19 51 0 0 0 0 0 0 0 0 0 0
20 58 0 0 0 0 0 0 0 0 0 0
21 49 0 0 0 0 0 0 0 0 0 0
22 67 0 0 0 0 0 0 0 0 0 1
23 67 0 0 1 0 0 0 0 0 0 0
24 45 0 0 0 0 0 0 0 0 0 0
25 48 0 0 0 0 0 0 0 0 0 0
26 47 0 0 0 0 0 0 0 0 0 0
27 52 0 0 0 0 0 0 0 0 0 0
28 45 0 0 0 0 0 0 0 0 0 0
29 39 0 0 0 0 0 0 0 0 0 1
30 40 0 0 0 0 0 0 0 0 0 0
31 38 0 0 0 0 0 0 0 0 0 1
32 40 0 0 0 0 0 0 0 0 0 1
33 41 0 0 0 0 0 0 0 0 0 1
34 44 0 0 1 0 0 0 0 0 0 0
35 29 0 0 0 0 0 0 0 0 0 1
36 41 0 0 0 0 0 0 0 0 0 0
37 44 0 0 1 0 0 0 0 0 0 0
38 22 0 0 0 0 0 0 0 0 0 0
39 38 0 0 0 0 0 0 0 0 0 0
40 29 0 0 0 0 0 0 0 0 0 0
41 27 0 0 0 0 0 0 0 0 0 0
42 28 0 0 1 0 0 0 0 0 0 0
43 32 0 0 0 0 0 0 0 0 0 0
44 33 0 0 0 0 0 0 0 0 0 0
45 27 0 0 0 0 0 0 0 0 0 0
46 18 0 0 0 0 0 0 0 0 0 0
47 17 0 0 0 0 0 0 0 0 0 0
48 20 0 0 0 0 0 0 0 0 0 0
