#rank requests intersection
1 1194 0
2 660 0
3 384 0
4 274 0
5 231 0
6 202 0
7 168 0
8 172 0
9 127 0
10 129 0
11 125 0
12 84 0
13 99 0
14 73 0
15 71 0
16 67 0
17 74 0
18 76 0
19 51 0
20 58 0
21 49 0
22 67 0
23 67 0
24 45 0
25 48 0
26 47 0
27 52 0
28 45 0
29 39 0
30 40 0
31 38 0
32 40 0
33 41 0
34 44 0
35 29 0
36 41 0
37 44 0
38 22 0
39 38 0
40 29 0
41 27 0
42 28 0
43 32 0
44 33 0
45 27 0
46 18 0
47 17 0
48 20 0
49 19 0
50 34 0
51 27 0
52 18 0
53 29 0
54 22 0
55 15 0
56 23 0
57 24 0
58 20 0
59 19 0
60 26 0
61 21 0
62 8 0
63 19 0
64 14 0
65 21 0
66 21 0
67 22 0
68 17 0
69 21 0
70 16 0
71 11 0
72 18 0
73 15 0
74 22 0
75 8 0
76 17 0
77 16 0
78 12 0
79 12 0
80 10 0
81 16 0
82 10 0
83 6 0
84 8 0
85 9 0
86 17 0
87 13 0
88 20 0
89 14 0
90 13 0
91 15 0
92 14 0
93 13 0
94 12 0
95 13 0
96 9 0
97 14 0
98 9 0
99 10 0
100 14 0
101 15 0
102 9 0
103 16 0
104 8 0
105 9 0
106 13 0
107 9 0
108 8 0
109 13 0
110 9 0
111 8 0
112 12 0
113 9 0
114 11 0
115 11 0
116 10 0
117 10 0
118 11 0
119 4 0
120 7 0
121 6 0
122 7 0
123 6 0
124 11 0
125 10 0
126 16 0
127 10 0
128 8 0
129 10 0
130 5 0
131 10 0
132 14 0
133 3 0
134 5 0
135 7 0
136 11 0
137 9 0
138 5 0
139 10 0
140 12 0
141 6 0
142 11 0
143 7 0
144 14 0
145 3 0
146 7 0
147 10 0
148 10 0
149 15 0
150 8 0
151 8 0
152 1 0
153 4 0
154 5 0
155 9 0
156 7 0
157 5 0
158 8 0
159 7 0
160 12 0
161 8 0
162 10 0
163 9 0
164 7 0
165 2 0
166 10 0
167 11 0
168 5 0
169 6 0
170 11 0
171 11 0
172 10 0
173 6 0
174 9 0
175 5 0
176 6 0
177 6 0
178 6 0
179 4 0
180 8 0
181 5 0
182 6 0
183 7 0
184 9 0
185 7 0
186 10 0
187 7 0
188 9 0
189 5 0
190 7 0
191 10 0
192 7 0
193 11 0
194 9 0
195 10 0
196 2 0
197 2 0
198 2 0
199 4 0
200 5 0
201 11 0
202 10 0
203 2 0
204 5 0
205 0 0
206 2 0
207 6 0
208 3 0
209 9 0
210 3 0
211 3 0
212 8 0
213 5 0
214 3 0
215 6 0
216 4 0
217 5 0
