link load
2-1 1
1-2 0.32449
11-1 1
1-11 0.909184
11-2 0.909184
2-11 1
11-10 1
10-11 0.72449
3-2 1
2-3 0.290816
4-3 0.676531
3-4 0.637143
5-4 0.110204
4-5 1
6-5 1
5-6 0.377143
7-6 1
6-7 0.648571
8-4 1
4-8 0.616735
8-7 1
7-8 0.00244898
9-3 1
3-9 0.350612
9-8 0
8-9 1
10-9 0.598367
9-10 1
