AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 3 13 4 2 4 
2 1 15 4 3 3 
3 0 5 4 3 5 
4 3 10 7 1 4 
5 1 23 3 0 4 
6 1 15 2 0 6 
7 4 20 1 3 3 
