AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 0 
2 46 19 9 5 4 
3 46 19 9 5 4 
4 45 20 9 5 4 
5 0 0 0 0 0 
6 0 0 0 0 0 
7 0 0 0 0 0 
8 0 0 0 0 0 
9 1 20 9 5 4 
10 46 20 9 5 4 
