link load
1-2 0.888776
2-1 1
2-3 1
3-2 1
2-4 0.966518
4-2 1
4-5 1
5-4 1
2-6 0.833482
6-2 0.804082
3-7 1
7-3 0.80551
6-8 1
8-6 0.796939
3-9 1
9-3 0.875442
2-10 0
10-2 0.0571429
