#rank	load_0.25_mean	load_0.25_conf	load_0.5_mean	load_0.5_conf	load_1_mean	load_1_conf	load_1.5_mean	load_1.5_conf	load_2_mean	load_2_conf	load_4_mean	load_4_conf	load_8_mean	load_8_conf
1	2	0	2	0	2	0	2	0	2	0	2	0	2	0
2	2	0	2	0	2	0	2	0	2	0	2	0	2	0
3	2	0	2	0	2	0	2	0	2	0	1.9	0.196	2	0
4	1.7	0.2993949454	2	0	1.9	0.196	1.2	0.2613333333	1.098895	0.1962524479	1	0	1	0
5	1.7	0.2993949454	1.8	0.2613333333	1.6	0.3200666597	1	0	1	0	1	0	1	0
6	1.3	0.2993949454	1.141935	0.2039403813	1	0	1	0	1	0	1	0	1	0
7	1.3	0.2993949454	1.1	0.196	1	0	1	0	1	0	1	0	1	0
8	1	0	1	0	1	0	1	0	1	0	1	0	1	0
9	1.1	0.196	1.1	0.196	0.9	0.196	1	0	1	0	1	0	1	0
10	1	0	1.1	0.196	0.9305556	0.0950830597	1	0	1	0	1	0	1	0
11	1.3	0.2993949454	1.14	0.202849216	1	0	1	0	1	0	1	0	1	0
12	1.32	0.2690591344	1	0	0.9011904	0.131075849	1	0	1	0	1	0	1	0
13	1.3	0.2993949454	1.028571	0.05599916	0.812	0.2462780708	1	0	1.052181	0.0718730532	1	0	1	0
14	1.27	0.2741665674	1.133333	0.1995964877	0.9	0.196	1	0	1	0	1	0	1	0
15	1.2	0.2613333333	1.06	0.1176	0.9878676	0.015862096	1	0	1	0	1	0	1	0
16	1.2	0.2613333333	1.1	0.196	0.9971429	0.005599916	1	0	1	0	1	0	1	0
17	1.2	0.2613333333	1.2	0.2613333333	1	0	1	0	1	0	1	0	1	0
18	1.2222222222	0.2880929205	1	0	1	0	1	0	1	0	1	0	1	0
19	1.2	0.2613333333	1.1	0.196	1	0	1	0	1	0	1	0	1	0
20	1.08	0.1568	1	0	1	0	1	0	1	0	1	0	1	0
21	1.1	0.196	1	0	0.8947368	0.1951233038	1	0	1	0	1	0	1	0
22	1.2222222222	0.2880929205	1.1	0.196	1	0	0.8	0.2613333333	1	0	1	0	1	0
23	1.2	0.2613333333	1	0	0.9944444	0.010888976	1	0	1	0	1	0	1	0
24	1.3	0.2993949454	1.1	0.196	1	0	1	0	1	0	1	0	1	0
25	1.1111111111	0.2177777778	1.1	0.196	0.9	0.196	0.9666667	0.065333268	0.8333333	0.2231558486	0.8	0.2613333333	1	0
26	1.233333	0.2585967282	1	0	1	0	0.9266667	0.143733268	0.9	0.196	0.9	0.196	1	0
27	1.4	0.3200666597	1.2	0.2613333333	1.094118	0.18447128	0.9454545	0.10690918	1	0	1	0	1	0
28	1.3	0.2993949454	1.225	0.2577356527	1.1	0.196	1	0	1	0	0.9	0.196	0.9	0.196
29	1.2	0.2613333333	1.205556	0.2202144509	1	0	0.95	0.098	0.9	0.196	0.7	0.2993949454	0.7	0.2993949454
30	1.2222222222	0.2880929205	1	0	1	0	1	0	1	0	1	0	0.8	0.2613333333
31	1.1	0.196	1.15	0.2091687251	1	0	0.8	0.2613333333	0.9333333	0.130666732	0.2	0.2613333333	0.4	0.3200666597
32	1.125	0.245	1.1	0.196	1	0	0.9	0.196	0.9315789	0.134105356	0.4	0.3200666597	0.4	0.3200666597
33	1.2	0.2613333333	1.3	0.2993949454	1	0	0.9933333	0.013066732	1	0	0.5	0.3266666667	0.3	0.2993949454
34	1.2222222222	0.2880929205	1.1	0.196	1	0	0.9	0.196	0.8	0.2613333333	0.2	0.2613333333	0.4010989	0.3194871801
35	1.125	0.245	1.2	0.2613333333	1	0	0.84	0.2170797703	0.435	0.308540082	0.4	0.3200666597	0.1	0.196
36	1.2	0.2613333333	1.1	0.196	1	0	0.9	0.196	0.9	0.196	0.4	0.3200666597	0.4	0.3200666597
37	1.1111111111	0.2177777778	1.1	0.196	1	0	0.9	0.196	0.645	0.2952495668	0.1	0.196	0.1	0.196
38	1.125	0.245	1.1	0.196	1	0	0.9333333	0.130666732	0.9	0.196	0	0	0	0
