#rank	load_0.25_mean	load_0.25_conf	load_0.5_mean	load_0.5_conf	load_1_mean	load_1_conf	load_1.5_mean	load_1.5_conf	load_2_mean	load_2_conf	load_4_mean	load_4_conf	load_8_mean	load_8_conf
39	1.1111111111	0.2177777778	1.2	0.2613333333	1.1	0.196	0.8	0.2613333333	0.8	0.2613333333	0.2	0.2613333333	0.1	0.196
40	1.125	0.245	1.1111111111	0.2177777778	1	0	0.76	0.2449975764	0.6285714	0.3015692431	0.2	0.2613333333	0.1	0.196
41	1.1111111111	0.2177777778	1.1	0.196	1	0	0.6	0.3200666597	0.4210526	0.3113781647	0.2	0.2613333333	0	0
42	1.1428571429	0.28	1.25	0.3207802986	1	0	0.6454545	0.295122754	0.4	0.3200666597	0.1	0.196	0	0
43	1.25	0.3207802986	1	0	0.955556	0.2345543302	1	0	0.6352941	0.2985798676	0.3	0.2993949454	0	0
44	1.14	0.202849216	1.1	0.196	1	0	0.8	0.2613333333	0.5	0.3266666667	0.1	0.196	0	0
45	1.1111111111	0.2177777778	1	0	1.1	0.196	0.6	0.3200666597	0.2	0.2613333333	0.1	0.196	0	0
46	1.2222222222	0.2880929205	1.081818	0.16036328	1	0	0.62	0.3061617873	0.5	0.3266666667	0	0	0	0
47	1.1481477778	0.2207816019	1	0	1	0	0.6	0.3200666597	0.3928571	0.3146108396	0	0	0	0
48	1.25	0.3207802986	1	0	1	0	0.7066667	0.2622029952	0.3928571	0.3146108396	0	0	0	0
49	1	0	1	0	1	0	0.7	0.2993949454	0.7	0.2993949454	0	0	0	0
50	1.375	0.3586432768	1	0	1	0	0.5	0.3266666667	0.3	0.2993949454	0.1	0.196	0	0
51	1.2	0.2613333333	1.2	0.2613333333	1	0	0.6266667	0.3025151875	0.4	0.3200666597	0	0	0	0
52	1	0	1.125	0.245	1	0	0.6	0.3200666597	0.2928571	0.2925147272	0	0	0	0
53	1.25	0.3207802986	1.2222222222	0.2880929205	1	0	0.6	0.3200666597	0.3	0.2993949454	0	0	0	0
54	1.3	0.2993949454	1.1	0.196	1	0	0.5363636	0.3102729475	0.4	0.3200666597	0	0	0	0
55	1.25	0.3207802986	1.1	0.196	1	0	0.3	0.2993949454	0.1861904	0.243289784	0	0	0	0
56	1.4285714286	0.3959797975	1	0	1	0	0.525	0.3137530876	0.2	0.2613333333	0	0	0	0
57	1.375	0.3586432768	1.1	0.196	1	0	0.54	0.3094897306	0.1	0.196	0	0	0	0
58	1.4285714286	0.3959797975	1.1	0.196	1	0	0.5909091	0.315683122	0.1	0.196	0	0	0	0
59	1.375	0.3586432768	1	0	1	0	0.6357143	0.2984113435	0.2	0.2613333333	0	0	0	0
60	1.3	0.2993949454	1	0	0.9666667	0.065333268	0.6	0.3200666597	0.2	0.2613333333	0	0	0	0
61	1.3333333333	0.3266666667	1.3	0.2993949454	1	0	0.7214286	0.2659999948	0.1	0.196	0	0	0	0
62	1.5	0.3704051835	1	0	1	0	0.7857143	0.2581472465	0.3	0.2993949454	0	0	0	0
63	1.433333	0.3087533337	1.1	0.196	1	0	0.8	0.2613333333	0.2	0.2613333333	0	0	0	0
64	1.5	0.3704051835	1	0	1	0	0.74	0.2681055845	0.3933333	0.3149581457	0	0	0	0
65	1.2857142857	0.3614784456	1.1111111111	0.2177777778	1	0	0.8	0.2613333333	0.4	0.3200666597	0	0	0	0
66	1.5	0.4382693236	1	0	1	0	0.6	0.3200666597	0.6	0.3200666597	0	0	0	0
67	1.2857142857	0.3614784456	1.1111111111	0.2177777778	1	0	0.74	0.2681055845	0.8	0.2613333333	0	0	0	0
68	1.25	0.3207802986	1.1111111111	0.2177777778	1	0	0.7333333	0.2720043782	0.7	0.2993949454	0	0	0	0
69	1.2857142857	0.3614784456	1.1	0.196	1	0	0.7454545	0.2653520424	0.8	0.2613333333	0	0	0	0
70	1.1666666667	0.3266666667	1	0	1	0	0.7	0.2993949454	0.7	0.2993949454	0	0	0	0
71	1.2857142857	0.3614784456	1	0	1	0	0.5142857	0.3184294865	0.6	0.3200666597	0	0	0	0
72	1.625	0.3586432768	1.1	0.196	1	0	0.7142857	0.2861545936	1	0	0	0	0	0
73	1.6	0.3200666597	1	0	1	0	0.9	0.196	0.6928571	0.2966546669	0	0	0	0
74	1.2857142857	0.3614784456	1	0	1	0	0.7107143	0.2730000033	0.9	0.196	0	0	0	0
75	1.1428571429	0.28	1	0	1	0	0.8	0.2613333333	0.7	0.2993949454	0	0	0	0
76	1.3333333333	0.4132042809	1.2	0.2613333333	1	0	0.7	0.2993949454	0.9	0.196	0	0	0	0
77	1.4444444444	0.3443369008	1.1	0.196	1	0	0.6	0.3200666597	0.6	0.3200666597	0.1	0.196	0	0
78	1.2857142857	0.3614784456	1.2222222222	0.2880929205	1	0	0.725	0.2776666667	0.9857143	0.027999972	0.4153846	0.313206728	0	0
79	1.625	0.3586432768	1.3	0.2993949454	1	0	0.8142857	0.243562466	1	0	0.8809524	0.1954065059	0	0
80	1.4285714286	0.3959797975	1	0	1	0	0.8142857	0.243562466	0.8	0.2613333333	1	0	0	0
81	1.625	0.3586432768	1.1	0.196	1	0	0.9	0.196	0.9	0.196	1	0	0	0
82	1.5555555556	0.3443369008	1.3333333333	0.3266666667	1	0	0.9	0.196	0.9	0.196	1	0	0	0
83	1.375	0.3586432768	1.2	0.2613333333	1	0	1	0	1	0	1	0	0	0
84	1.5	0.4382693236	1.1111111111	0.2177777778	1	0	1	0	0.8	0.2613333333	1	0	0	0
85	1.6	0.4800999896	1.1428571429	0.28	1	0	0.8	0.2613333333	0.9	0.196	1	0	0	0
86	1.3333333333	0.4132042809	1	0	1.066667	0.13066732	1	0	0.8	0.2613333333	1	0	0	0
87	1	0	1	0	1	0	0.9857143	0.027999972	0.8	0.2613333333	0.8	0.2613333333	0	0
88	1.5	0.3266666667	1.1	0.196	0.9	0.196	0.9857143	0.027999972	0.6	0.3200666597	0.8	0.2613333333	0	0
89	1.2857142857	0.3614784456	1	0	0.9	0.196	1	0	0.8	0.2613333333	0.6	0.3200666597	0	0
90	1.25	0.49	1.2	0.2613333333	0.9	0.196	1	0	0.9	0.196	0.4	0.3200666597	0	0
91	1	0	1	0	1	0	0.9	0.196	1	0	0.5647059	0.3085060349	0	0
92	1.2222222222	0.2880929205	1.1	0.196	0.9	0.196	0.9857143	0.027999972	0.8	0.2613333333	0.6	0.3200666597	0	0
93	1.25	0.49	1.2222222222	0.2880929205	0.9	0.196	0.925	0.147	0.9	0.196	0.8	0.2613333333	0	0
94	1.25	0.3207802986	1.2	0.2613333333	0.9	0.196	1	0	0.9	0.196	0.9	0.196	0	0
95	1.4	0.4800999896	1.125	0.245	0.9	0.196	1	0	0.7	0.2993949454	1	0	0	0
96	1.1666666667	0.3266666667	1.3	0.2993949454	0.9	0.196	1	0	0.8	0.2613333333	1	0	0	0
97	1.2	0.392	1	0	0.9	0.196	1	0	0.9	0.196	1	0	0	0
98	1	0	1	0	0.9	0.196	0.9	0.196	0.6	0.3200666597	1	0	0	0
99	1.25	0.3207802986	1.1944444444	0.2553670803	0.8	0.2613333333	1	0	0.8	0.2613333333	1	0	0	0
100	1.4285714286	0.3959797975	1.20833375	0.2743531557	1	0	0.9	0.196	0.6	0.3200666597	1	0	0	0
101	1.125	0.245	1.1111111111	0.2177777778	0.9	0.196	1	0	0.6	0.3200666597	1	0	0	0
102	1.25	0.3207802986	1.2222222222	0.2880929205	1	0	0.9	0.196	0.8	0.2613333333	1	0	0	0
103	1.1666666667	0.3266666667	1.1111111111	0.2177777778	1	0	1	0	0.8	0.2613333333	1	0	0	0
104	1.25	0.3207802986	1	0	1	0	0.9	0.196	0.7	0.2993949454	1	0	0	0
105	1	0	1.1428571429	0.28	0.8888888889	0.2177777778	1	0	0.8	0.2613333333	1	0	0	0
106	1.125	0.245	1.1111111111	0.2177777778	0.9	0.196	1	0	0.9538462	0.090461448	1	0	0	0
107	1	0	1	0	0.875	0.245	0.8	0.2613333333	0.7	0.2993949454	1	0	0	0
108	1.3333333333	0.3266666667	1.2	0.2613333333	0.9	0.196	1	0	0.7	0.2993949454	1	0	0	0
109	1.4	0.4800999896	1.1666666667	0.3266666667	0.8888888889	0.2177777778	0.9	0.196	0.8857143	0.1948857206	1	0	0	0
110	1.2	0.392	1.1666666667	0.3266666667	0.9	0.196	0.9	0.196	0.7	0.2993949454	1	0	0	0
111	1.5	0.5658032638	1	0	0.9	0.196	0.8	0.2613333333	0.8	0.2613333333	1	0	0	0
112	1.4285714286	0.3959797975	1	0	0.9	0.196	0.9	0.196	0.7	0.2993949454	1	0	0	0
113	1	0	1.2222222222	0.2880929205	0.9	0.196	0.8	0.2613333333	0.7	0.2993949454	1	0	0	0
114	1.5	0.98	1	0	1	0	0.8	0.2613333333	0.7	0.2993949454	1	0	0	0
115	1	0	1.1666666667	0.3266666667	1	0	0.8857143	0.1948857206	0.7	0.2993949454	0.9	0.196	0	0
116	1	0	1	0	0.9	0.196	0.7	0.2993949454	0.8	0.2613333333	0.5	0.3266666667	0	0
117	1.2	0.392	1.2857142857	0.3614784456	0.9	0.196	0.6047619	0.2865095419	0.9	0.196	0.4	0.3200666597	0	0
118	1.2857142857	0.3614784456	1.2222222222	0.2880929205	0.9	0.196	0.6333333	0.2993949597	0.8	0.2613333333	0.1	0.196	0	0
119	1.25	0.49	1	0	0.875	0.245	0.7	0.2993949454	0.8222222	0.2345538692	0	0	0	0
120	1	0	1.1666666667	0.3266666667	1	0	0.625	0.3586432768	0.8888888889	0.2177777778	0	0	0	0
121	1.3333333333	0.4132042809	1.125	0.245	0.9	0.196	0.6	0.3200666597	0.7857143	0.2581472465	0	0	0	0
122	1.5	0.4382693236	1.125	0.245	0.9	0.196	0.6	0.3200666597	0.9	0.196	0	0	0	0
123	1.4	0.4800999896	1.1428571429	0.28	0.9	0.196	0.5	0.3266666667	0.8	0.2613333333	0	0	0	0
124	1.2	0.392	1.1	0.196	0.9	0.196	0.5	0.3266666667	0.9	0.196	0	0	0	0
125	1.25	0.49	1	0	0.8888888889	0.2177777778	0.5	0.3266666667	0.8	0.2613333333	0	0	0	0
126	1	0	1.1428571429	0.28	1	0	0.3857143	0.3096923297	0.8	0.2613333333	0	0	0	0
127	1	0	1.1428571429	0.28	1	0	0.5	0.3266666667	0.6	0.3200666597	0	0	0	0
128	1.2	0.392	1	0	1	0	0.5	0.3266666667	0.5	0.3266666667	0	0	0	0
129	1.6	0.4800999896	1.1428571429	0.28	1.1	0.196	0.5	0.3266666667	0.3	0.2993949454	0	0	0	0
130	1.4285714286	0.3959797975	1.2	0.2613333333	1	0	0.6	0.3200666597	0.3	0.2993949454	0	0	0	0
131	1.6666666667	0.6533333333	1.2222222222	0.2880929205	1	0	0.6	0.3200666597	0.3857143	0.3096923297	0	0	0	0
132	2	0	1	0	1	0	0.5	0.3266666667	0.3	0.2993949454	0	0	0	0
133	1.2	0.392	1.1428571429	0.28	1	0	0.6	0.3200666597	0.4	0.3200666597	0	0	0	0
134	1.25	0.49	1.1666666667	0.3266666667	1	0	0.6666666667	0.3266666667	0.3	0.2993949454	0	0	0	0
135	1.375	0.3586432768	1	0	1	0	0.8	0.2613333333	0	0	0	0	0	0
136	1.5	0.4382693236	1	0	1	0	0.7	0.2993949454	0.1	0.196	0	0	0	0
137	1.1666666667	0.3266666667	1.125	0.245	1	0	0.9	0.196	0	0	0	0	0	0
138	2	0	1.2222222222	0.2880929205	1	0	0.7857143	0.2581472465	0.2857143	0.2861545936	0	0	0	0
139	1.6	0.4800999896	1.125	0.245	1	0	0.9	0.196	0.2	0.2613333333	0	0	0	0
140	1.2857142857	0.3614784456	1	0	1	0	1	0	0.1	0.196	0	0	0	0
141	1.5	0.5658032638	1.1666666667	0.3266666667	1	0	0.9	0.196	0.3	0.2993949454	0	0	0	0
142	1.5	0.4382693236	1	0	1	0	1	0	0.1857143	0.243562466	0	0	0	0
143	1.3333333333	0.6533333333	1.4	0.4800999896	1	0	1	0	0.2	0.2613333333	0	0	0	0
144	1.1428571429	0.28	1	0	1	0	1	0	0.2	0.2613333333	0	0	0	0
145	1.5	0.5658032638	1	0	1	0	1	0	0.2	0.2613333333	0	0	0	0
146	1.3333333333	0.4132042809	1.1428571429	0.28	1	0	1	0	0.3	0.2993949454	0	0	0	0
147	1.4	0.4800999896	1.1428571429	0.28	1	0	0.9	0.196	0.3	0.2993949454	0	0	0	0
148	1.4	0.4800999896	1	0	1	0	0.8	0.2613333333	0.3	0.2993949454	0	0	0	0
149	1.4	0.4800999896	1.125	0.245	1	0	0.825	0.2315649657	0.2	0.2613333333	0	0	0	0
150	1.6	0.4800999896	1.1111111111	0.2177777778	1	0	0.9	0.196	0.1	0.196	0	0	0	0
151	1.2	0.392	1	0	1	0	0.9	0.196	0.1	0.196	0	0	0	0
152	1.4	0.4800999896	1	0	1	0	0.9	0.196	0.2	0.2613333333	0	0	0	0
153	1	0	1	0	1	0	1	0	0.3	0.2993949454	0	0	0	0
154	1.6666666667	0.6533333333	1	0	1.1111111111	0.2177777778	1	0	0.2	0.2613333333	0	0	0	0
155	1.3333333333	0.6533333333	1	0	1	0	1	0	0.3	0.2993949454	0	0	0	0
156	1.6	0.4800999896	1	0	1	0	1	0	0.1	0.196	0	0	0	0
157	1	0	1	0	1	0	0.9	0.196	0.2	0.2613333333	0	0	0	0
158	1.3333333333	0.6533333333	1	0	1	0	0.9	0.196	0.2	0.2613333333	0	0	0	0
159	1.2857142857	0.3614784456	1	0	1	0	0.9	0.196	0.1	0.196	0	0	0	0
160	1.5	0.98	1.2	0.392	1	0	1	0	0.1	0.196	0	0	0	0
161	1.6	0.4800999896	1	0	1.125	0.245	1	0	0.2	0.2613333333	0	0	0	0
162	1.5	0.98	1	0	1	0	0.9	0.196	0.1	0.196	0	0	0	0
163	1	0	1	0	1	0	1	0	0.2222222222	0.2880929205	0	0	0	0
164	1.25	0.49	1.2857142857	0.3614784456	1	0	1	0	0.2	0.2613333333	0	0	0	0
165	1.6	0.4800999896	1.1428571429	0.28	1	0	1	0	0.2	0.2613333333	0	0	0	0
166	1.25	0.49	1	0	1	0	1	0	0.3	0.2993949454	0	0	0	0
167	1.25	0.49	1	0	1	0	1	0	0.2	0.2613333333	0	0	0	0
168	1.6666666667	0.6533333333	1.1666666667	0.3266666667	1	0	0.9	0.196	0.3	0.2993949454	0	0	0	0
169	2	0	1	0	1	0	1	0	0.2222222222	0.2880929205	0	0	0	0
170	1.6	0.4800999896	1	0	1	0	1	0	0.2	0.2613333333	0	0	0	0
171	1.5	0.5658032638	1.2222222222	0.2880929205	1	0	1	0	0.3	0.2993949454	0	0	0	0
172	1.6	0.4800999896	1	0	1	0	0.9	0.196	0.3	0.2993949454	0	0	0	0
173	1.5	0.5658032638	1	0	1	0	1	0	0.2	0.2613333333	0	0	0	0
174	1.3333333333	0.6533333333	1	0	1	0	0.9142857	0.168000028	0.1	0.196	0	0	0	0
175	1.6	0.4800999896	1	0	1	0	0.9	0.196	0.3	0.2993949454	0	0	0	0
176	1.5	0.5658032638	1	0	1	0	1	0	0.4	0.3200666597	0	0	0	0
177	1.5	0.4382693236	1.1428571429	0.28	1	0	0.7936507778	0.2685305418	0.5	0.3266666667	0	0	0	0
178	1.2	0.392	1	0	1	0	1	0	0.3	0.2993949454	0	0	0	0
179	1.5	0.5658032638	1	0	1	0	1	0	0.6	0.3200666597	0	0	0	0
180	1	0	1	0	1	0	1	0	0.8	0.2613333333	0	0	0	0
181	1.4	0.4800999896	1	0	1	0	1	0	0.6	0.3200666597	0	0	0	0
182	1	0	1	0	1	0	1	0	0.4	0.3200666597	0	0	0	0
183	1	0	1	0	1	0	1	0	0.5	0.3704051835	0	0	0	0
184	1.75	0.49	1	0	1	0	1	0	0.7	0.2993949454	0	0	0	0
185	1.2	0.392	1	0	1	0	1	0	0.7	0.2993949454	0	0	0	0
186	1.4285714286	0.3959797975	1	0	1	0	0.9	0.196	0.7	0.2993949454	0	0	0	0
187	1.75	0.49	1	0	1	0	1	0	0.5555555556	0.3443369008	0	0	0	0
188	1.4	0.4800999896	1	0	1	0	1	0	0.6	0.3200666597	0	0	0	0
189	1.6666666667	0.6533333333	1	0	1	0	1	0	0.6	0.3200666597	0	0	0	0
190	1.4	0.4800999896	1	0	1	0	1	0	0.7	0.2993949454	0	0	0	0
191	1.4	0.4800999896	1	0	1	0	0.9142857	0.168000028	0.6	0.3200666597	0	0	0	0
192	2	0	1	0	1	0	0.8888888889	0.2177777778	0.5	0.3266666667	0	0	0	0
193	1.75	0.49	1.1428571429	0.28	1	0	1	0	0.2	0.2613333333	0	0	0	0
194	1.6666666667	0.4132042809	1	0	1	0	0.9857143	0.027999972	0.3	0.2993949454	0	0	0	0
195	1.3333333333	0.6533333333	1	0	1	0	1	0	0.3	0.2993949454	0	0	0	0
196	1.25	0.49	1.1428571429	0.28	1	0	0.9	0.196	0.2	0.2613333333	0	0	0	0
197	1.3333333333	0.6533333333	1	0	1	0	0.9	0.196	0.3	0.2993949454	0	0	0	0
198	1.25	0.49	1	0	1	0	1	0	0.3	0.2993949454	0	0	0	0
199	1.5	0.5658032638	1	0	1	0	0.875	0.245	0.1111111111	0.2177777778	0	0	0	0
200	1.5	0.5658032638	1	0	1	0	1	0	0.4	0.3200666597	0	0	0	0
201	1.75	0.49	1	0	1.0555555556	0.1088888889	0.8888888889	0.2177777778	0.1	0.196	0	0	0	0
202	1.2	0.392	1	0	1	0	1	0	0.3	0.2993949454	0	0	0	0
203	1	0	1	0	1	0	0.875	0.245	0.3333333333	0.3266666667	0	0	0	0
204	1.3333333333	0.4132042809	1	0	1	0	1	0	0.2857143	0.2861545936	0	0	0	0
205	1.25	0.49	1	0	1	0	1	0	0.1	0.196	0	0	0	0
206	1.6666666667	0.6533333333	1.1666666667	0.3266666667	1	0	1	0	0.1	0.196	0	0	0	0
207	1.5	0.98	1	0	1	0	1	0	0.2	0.2613333333	0	0	0	0
208	1.3333333333	0.6533333333	1	0	1	0	1	0	0.1111111111	0.2177777778	0	0	0	0
209	1.3333333333	0.6533333333	1	0	1	0	0.8888888889	0.2177777778	0.2	0.2613333333	0	0	0	0
210	1	0	1	0	1	0	1	0	0.3	0.2993949454	0	0	0	0
211	1.6666666667	0.6533333333	1	0	1	0	0.8888888889	0.2177777778	0.3	0.2993949454	0	0	0	0
212	1.3333333333	0.6533333333	1	0	1	0	1	0	0.2222222222	0.2880929205	0	0	0	0
213	1.4	0.4800999896	1	0	1	0	1	0	0.3	0.2993949454	0	0	0	0
214	1.25	0.49	1	0	1	0	1	0	0.1	0.196	0	0	0	0
215	NaN	NaN	1	0	1	0	0.7777777778	0.2880929205	0.3333333333	0.3266666667	0	0	0	0
216	1.2	0.392	1	0	1	0	1	0	0.2	0.2613333333	0	0	0	0
217	1	0	1	0	1	0	0.9	0.196	0.1	0.196	0	0	0	0
218	2	0	1	0	1	0	1	0	0	0	0	0	0	0
219	1	0	1	0	1	0	1	0	0.2	0.2613333333	0	0	0	0
220	1.25	0.49	1	0	1	0	1	0	0.2	0.2613333333	0	0	0	0
221	NaN	NaN	1	0	1	0	1	0	0.375	0.3586432768	0	0	0	0
222	1	0	1	0	1	0	0.875	0.245	0.3333333333	0.3266666667	0	0	0	0
223	1	0	1	0	1	0	0.875	0.245	0.5	0.3704051835	0	0	0	0
224	1.25	0.49	1	0	1	0	1	0	0.5	0.3266666667	0	0	0	0
225	1	0	1	0	1	0	1	0	0.4	0.3200666597	0	0	0	0
226	1.3333333333	0.6533333333	1	0	1	0	1	0	0.5	0.3704051835	0	0	0	0
227	1	0	1.1666666667	0.3266666667	1	0	0.9	0.196	0.4	0.3200666597	0	0	0	0
228	1	0	1	0	1	0	1	0	0.5	0.3704051835	0	0	0	0
229	1	0	1	0	1	0	1	0	0.3	0.2993949454	0	0	0	0
230	1.4285714286	0.3959797975	1	0	1	0	0.8888888889	0.2177777778	0.3	0.2993949454	0	0	0	0
231	1.3333333333	0.6533333333	1	0	1	0	0.9	0.196	0.3	0.2993949454	0	0	0	0
232	1.25	0.49	1	0	1	0	0.8	0.2613333333	0.3	0.2993949454	0	0	0	0
233	1.25	0.49	1	0	1	0	1	0	0.375	0.3586432768	0	0	0	0
234	1	0	1	0	1	0	0.9	0.196	0.5	0.3266666667	0	0	0	0
235	1	0	1	0	1	0	1	0	0.5	0.3266666667	0	0	0	0
236	1.25	0.49	1	0	1	0	0.8888888889	0.2177777778	0.3	0.2993949454	0	0	0	0
237	1	0	1	0	1	0	0.8	0.2613333333	0.4	0.3200666597	0	0	0	0
238	1.3333333333	0.6533333333	1	0	1	0	1	0	0.5396825556	0.3357983006	0	0	0	0
239	1	0	1	0	1	0	1	0	0.3333333333	0.3266666667	0	0	0	0
240	1.6666666667	0.6533333333	1	0	1	0	0.9	0.196	0.4	0.3200666597	0	0	0	0
241	1	0	1.1666666667	0.3266666667	1	0	0.8888888889	0.2177777778	0.3	0.2993949454	0	0	0	0
242	1.4	0.4800999896	1	0	1	0	0.9	0.196	0.4	0.3200666597	0	0	0	0
243	1.2	0.392	1	0	1	0	0.9	0.196	0.3	0.2993949454	0	0	0	0
244	1.5	0.98	1	0	1	0	1	0	0.4444444444	0.3443369008	0	0	0	0
245	1.25	0.49	1	0	1	0	1	0	0.1	0.196	0	0	0	0
246	1.5	0.98	1.2	0.392	1	0	0.875	0.245	0.3333333333	0.3266666667	0	0	0	0
247	1.2	0.392	1	0	1	0	1	0	0.2	0.2613333333	0	0	0	0
248	1.8	0.392	1	0	1	0	1	0	0.125	0.245	0	0	0	0
249	1.25	0.49	1	0	1	0	1	0	0.1	0.196	0	0	0	0
250	1	0	1	0	1	0	1	0	0.3	0.2993949454	0	0	0	0
251	1.5	0.98	1	0	1	0	1	0	0.3	0.2993949454	0	0	0	0
252	1.4	0.4800999896	1	0	1	0	1	0	0	0	0	0	0	0
253	NaN	NaN	1	0	1	0	1	0	0.125	0.245	0	0	0	0
254	1.25	0.49	1	0	1	0	0.875	0.245	0.2	0.2613333333	0	0	0	0
255	1	0	1	0	1	0	1	0	0.2	0.2613333333	0	0	0	0
256	1.4	0.4800999896	1	0	1	0	1	0	0.125	0.245	0	0	0	0
257	1.25	0.49	1	0	1	0	0.9	0.196	0.4	0.3200666597	0	0	0	0
258	1.5	0.5658032638	1	0	1	0	1	0	0.5	0.3266666667	0	0	0	0
259	1.2	0.392	1.1428571429	0.28	1	0	1	0	0.4444444444	0.3443369008	0	0	0	0
260	1.3333333333	0.4132042809	1	0	1	0	1	0	0.3333333333	0.3266666667	0	0	0	0
261	1	0	1	0	1	0	0.9	0.196	0.4	0.3200666597	0	0	0	0
262	1	0	1	0	1	0	1	0	0.6	0.3200666597	0	0	0	0
263	1.2	0.392	1	0	1	0	1	0	0.6	0.3200666597	0	0	0	0
264	1	0	1	0	1.2	0.392	0.8888888889	0.2177777778	0.7777777778	0.2880929205	0	0	0	0
265	1.2	0.392	1	0	1	0	1	0	0.7777777778	0.2880929205	0	0	0	0
266	1	0	1	0	1	0	0.7777777778	0.2880929205	0.6666666667	0.3266666667	0	0	0	0
267	1.3333333333	0.4132042809	1	0	1	0	1	0	0.6	0.3200666597	0	0	0	0
268	1	0	1	0	1	0	1	0	0.6	0.3200666597	0	0	0	0
269	2	0	1	0	1	0	0.8571428571	0.28	0.625	0.3586432768	0	0	0	0
270	1	0	1	0	1	0	0.9	0.196	0.8	0.2613333333	0	0	0	0
271	1	0	1	0	1	0	1	0	0.6	0.3200666597	0	0	0	0
272	1	0	1	0	1	0	0.8888888889	0.2177777778	0.8	0.2613333333	0	0	0	0
273	1	0	1	0	1	0	0.8888888889	0.2177777778	1	0	0	0	0	0
274	1	0	1	0	1	0	1	0	0.8888888889	0.2177777778	0	0	0	0
